,庫房,料號,品名,數量,週,工作日,帳務日期
6201,DLN6,F01700003,真空吸引瓶,3,1,True,2021/1/8
6200,DLN6,F01700003,真空吸引瓶,0,2,True,2021/1/4
6200,DLN6,F01700003,真空吸引瓶,0,3,True,2021/1/4
6205,DLN6,F01700003,真空吸引瓶,5,4,True,2021/1/29
13223,DLN6,F01700003,真空吸引瓶,4,5,True,2021/2/7
13224,DLN6,F01700003,真空吸引瓶,2,6,True,2021/2/8
6200,DLN6,F01700003,真空吸引瓶,0,7,True,2021/1/4
6200,DLN6,F01700003,真空吸引瓶,0,8,True,2021/1/4
20573,DLN6,F01700003,真空吸引瓶,4,9,True,2021/3/3
20575,DLN6,F01700003,真空吸引瓶,4,10,True,2021/3/12
20577,DLN6,F01700003,真空吸引瓶,3,11,True,2021/3/19
20580,DLN6,F01700003,真空吸引瓶,6,12,True,2021/3/26
27925,DLN6,F01700003,真空吸引瓶,7,13,True,2021/4/1
27929,DLN6,F01700003,真空吸引瓶,5,14,False,2021/4/10
27930,DLN6,F01700003,真空吸引瓶,1,15,True,2021/4/13
27932,DLN6,F01700003,真空吸引瓶,4,16,True,2021/4/20
27933,DLN6,F01700003,真空吸引瓶,6,17,True,2021/4/27
6200,DLN6,F01700003,真空吸引瓶,0,18,True,2021/1/4
36206,DLN6,F01700003,真空吸引瓶,1,19,True,2021/5/10
36209,DLN6,F01700003,真空吸引瓶,12,20,True,2021/5/21
6200,DLN6,F01700003,真空吸引瓶,0,21,True,2021/1/4
44861,DLN6,F01700003,真空吸引瓶,4,22,True,2021/6/2
44863,DLN6,F01700003,真空吸引瓶,2,23,True,2021/6/9
44866,DLN6,F01700003,真空吸引瓶,4,24,False,2021/6/20
44867,DLN6,F01700003,真空吸引瓶,3,25,True,2021/6/25
6200,DLN6,F01700003,真空吸引瓶,0,26,True,2021/1/4
54224,DLN6,F01700003,真空吸引瓶,8,27,True,2021/7/9
6200,DLN6,F01700003,真空吸引瓶,0,28,True,2021/1/4
54225,DLN6,F01700003,真空吸引瓶,1,29,True,2021/7/23
54226,DLN6,F01700003,真空吸引瓶,4,30,True,2021/7/26
62576,DLN6,F01700003,真空吸引瓶,4,31,True,2021/8/6
62578,DLN6,F01700003,真空吸引瓶,4,32,True,2021/8/10
62580,DLN6,F01700003,真空吸引瓶,6,33,True,2021/8/20
62581,DLN6,F01700003,真空吸引瓶,3,34,True,2021/8/27
71051,DLN6,F01700003,真空吸引瓶,5,35,False,2021/9/5
71052,DLN6,F01700003,真空吸引瓶,2,36,True,2021/9/6
71053,DLN6,F01700003,真空吸引瓶,3,37,True,2021/9/17
71054,DLN6,F01700003,真空吸引瓶,1,38,True,2021/9/23
71055,DLN6,F01700003,真空吸引瓶,2,39,True,2021/9/27
78720,DLN6,F01700003,真空吸引瓶,3,40,False,2021/10/7
78722,DLN6,F01700003,真空吸引瓶,2,41,True,2021/10/12
78724,DLN6,F01700003,真空吸引瓶,8,42,False,2021/10/24
78726,DLN6,F01700003,真空吸引瓶,5,43,False,2021/10/30
86761,DLN6,F01700003,真空吸引瓶,7,44,True,2021/11/5
6200,DLN6,F01700003,真空吸引瓶,0,45,True,2021/1/4
86764,DLN6,F01700003,真空吸引瓶,4,46,True,2021/11/17
86765,DLN6,F01700003,真空吸引瓶,2,47,True,2021/11/26
93663,DLN6,F01700003,真空吸引瓶,1,48,True,2021/12/2
93665,DLN6,F01700003,真空吸引瓶,6,49,False,2021/12/11
93669,DLN6,F01700003,真空吸引瓶,8,50,False,2021/12/19
93673,DLN6,F01700003,真空吸引瓶,14,51,True,2021/12/24
6200,DLN6,F01700003,真空吸引瓶,0,52,True,2021/1/4
