,庫房,料號,品名,數量,週,工作日,帳務日期
6493,DLN6,G81500272,血糖試紙,333,1,False,2021/1/10
6757,DLN6,G81500272,血糖試紙,487,2,False,2021/1/17
6998,DLN6,G81500272,血糖試紙,448,3,False,2021/1/24
7284,DLN6,G81500272,血糖試紙,475,4,False,2021/1/31
13496,DLN6,G81500272,血糖試紙,474,5,True,2021/2/7
13698,DLN6,G81500272,血糖試紙,394,6,False,2021/2/14
13924,DLN6,G81500272,血糖試紙,411,7,False,2021/2/21
14154,DLN6,G81500272,血糖試紙,467,8,False,2021/2/28
20764,DLN6,G81500272,血糖試紙,328,9,False,2021/3/7
20954,DLN6,G81500272,血糖試紙,369,10,False,2021/3/14
21116,DLN6,G81500272,血糖試紙,334,11,False,2021/3/21
21400,DLN6,G81500272,血糖試紙,432,12,False,2021/3/28
28046,DLN6,G81500272,血糖試紙,357,13,False,2021/4/4
28292,DLN6,G81500272,血糖試紙,373,14,False,2021/4/11
28928,DLN6,G81500272,血糖試紙,281,15,False,2021/4/18
28761,DLN6,G81500272,血糖試紙,423,16,True,2021/4/25
36295,DLN6,G81500272,血糖試紙,371,17,False,2021/5/2
36552,DLN6,G81500272,血糖試紙,433,18,False,2021/5/9
36836,DLN6,G81500272,血糖試紙,448,19,False,2021/5/16
37097,DLN6,G81500272,血糖試紙,461,20,False,2021/5/23
37452,DLN6,G81500272,血糖試紙,545,21,False,2021/5/30
45145,DLN6,G81500272,血糖試紙,530,22,False,2021/6/6
45414,DLN6,G81500272,血糖試紙,502,23,False,2021/6/13
45691,DLN6,G81500272,血糖試紙,480,24,False,2021/6/20
46027,DLN6,G81500272,血糖試紙,602,25,False,2021/6/27
54410,DLN6,G81500272,血糖試紙,560,26,False,2021/7/4
54678,DLN6,G81500272,血糖試紙,566,27,False,2021/7/11
54922,DLN6,G81500272,血糖試紙,496,28,False,2021/7/18
55181,DLN6,G81500272,血糖試紙,569,29,False,2021/7/25
62645,DLN6,G81500272,血糖試紙,474,30,False,2021/8/1
62897,DLN6,G81500272,血糖試紙,440,31,False,2021/8/8
63249,DLN6,G81500272,血糖試紙,571,32,False,2021/8/15
63598,DLN6,G81500272,血糖試紙,530,33,False,2021/8/22
63941,DLN6,G81500272,血糖試紙,562,34,False,2021/8/29
71255,DLN6,G81500272,血糖試紙,481,35,False,2021/9/5
71582,DLN6,G81500272,血糖試紙,531,36,False,2021/9/12
71899,DLN6,G81500272,血糖試紙,606,37,False,2021/9/19
72256,DLN6,G81500272,血糖試紙,594,38,True,2021/9/26
78901,DLN6,G81500272,血糖試紙,687,39,False,2021/10/3
79218,DLN6,G81500272,血糖試紙,543,40,False,2021/10/10
79528,DLN6,G81500272,血糖試紙,477,41,False,2021/10/17
79724,DLN6,G81500272,血糖試紙,314,42,False,2021/10/24
79896,DLN6,G81500272,血糖試紙,332,43,False,2021/10/31
87073,DLN6,G81500272,血糖試紙,534,44,False,2021/11/7
87319,DLN6,G81500272,血糖試紙,466,45,False,2021/11/14
87592,DLN6,G81500272,血糖試紙,486,46,False,2021/11/21
87911,DLN6,G81500272,血糖試紙,677,47,False,2021/11/28
93883,DLN6,G81500272,血糖試紙,544,48,False,2021/12/5
94116,DLN6,G81500272,血糖試紙,512,49,False,2021/12/12
94356,DLN6,G81500272,血糖試紙,491,50,False,2021/12/19
94647,DLN6,G81500272,血糖試紙,612,51,False,2021/12/26
94826,DLN6,G81500272,血糖試紙,296,52,True,2021/12/31
