,庫房,料號,品名,數量,週,工作日,帳務日期
7382,DLN6,J00202019,勤達豪華型尿袋 (滅菌),7,1,True,2021/1/8
7395,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,2,False,2021/1/17
7408,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,3,False,2021/1/24
7418,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,4,False,2021/1/31
14251,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,5,False,2021/2/6
14260,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,6,False,2021/2/13
14268,DLN6,J00202019,勤達豪華型尿袋 (滅菌),8,7,True,2021/2/19
14277,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,8,False,2021/2/28
21521,DLN6,J00202019,勤達豪華型尿袋 (滅菌),7,9,False,2021/3/7
21534,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,10,False,2021/3/13
21543,DLN6,J00202019,勤達豪華型尿袋 (滅菌),9,11,False,2021/3/21
21555,DLN6,J00202019,勤達豪華型尿袋 (滅菌),12,12,False,2021/3/28
29046,DLN6,J00202019,勤達豪華型尿袋 (滅菌),9,13,False,2021/4/4
29050,DLN6,J00202019,勤達豪華型尿袋 (滅菌),4,14,False,2021/4/11
29058,DLN6,J00202019,勤達豪華型尿袋 (滅菌),8,15,False,2021/4/17
29066,DLN6,J00202019,勤達豪華型尿袋 (滅菌),9,16,False,2021/4/24
37638,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,17,False,2021/5/2
37649,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,18,False,2021/5/9
37659,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,19,False,2021/5/16
37673,DLN6,J00202019,勤達豪華型尿袋 (滅菌),17,20,False,2021/5/23
37690,DLN6,J00202019,勤達豪華型尿袋 (滅菌),17,21,True,2021/5/27
46324,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,22,False,2021/6/6
46343,DLN6,J00202019,勤達豪華型尿袋 (滅菌),21,23,False,2021/6/13
46354,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,24,False,2021/6/20
46374,DLN6,J00202019,勤達豪華型尿袋 (滅菌),20,25,False,2021/6/27
55510,DLN6,J00202019,勤達豪華型尿袋 (滅菌),19,26,False,2021/7/4
55524,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,27,False,2021/7/11
55538,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,28,False,2021/7/18
55551,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,29,False,2021/7/25
55561,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,30,True,2021/7/30
64130,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,31,False,2021/8/8
64146,DLN6,J00202019,勤達豪華型尿袋 (滅菌),16,32,False,2021/8/15
64157,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,33,False,2021/8/21
64167,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,34,False,2021/8/29
72644,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,35,False,2021/9/5
72656,DLN6,J00202019,勤達豪華型尿袋 (滅菌),12,36,False,2021/9/11
72672,DLN6,J00202019,勤達豪華型尿袋 (滅菌),17,37,False,2021/9/19
72689,DLN6,J00202019,勤達豪華型尿袋 (滅菌),17,38,True,2021/9/26
80037,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,39,False,2021/10/3
80044,DLN6,J00202019,勤達豪華型尿袋 (滅菌),7,40,True,2021/10/9
80054,DLN6,J00202019,勤達豪華型尿袋 (滅菌),10,41,False,2021/10/17
80065,DLN6,J00202019,勤達豪華型尿袋 (滅菌),11,42,False,2021/10/24
80074,DLN6,J00202019,勤達豪華型尿袋 (滅菌),9,43,False,2021/10/31
88169,DLN6,J00202019,勤達豪華型尿袋 (滅菌),13,44,False,2021/11/6
88184,DLN6,J00202019,勤達豪華型尿袋 (滅菌),15,45,False,2021/11/14
88199,DLN6,J00202019,勤達豪華型尿袋 (滅菌),15,46,False,2021/11/20
88211,DLN6,J00202019,勤達豪華型尿袋 (滅菌),12,47,True,2021/11/26
94936,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,48,False,2021/12/5
94950,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,49,False,2021/12/12
94964,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,50,True,2021/12/17
94978,DLN6,J00202019,勤達豪華型尿袋 (滅菌),14,51,False,2021/12/25
94986,DLN6,J00202019,勤達豪華型尿袋 (滅菌),8,52,True,2021/12/29
