,庫房,料號,品名,數量,帳務日期,週,工作日
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,1,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,2,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,3,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,4,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,5,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,6,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,7,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,8,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/3/1,9,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,10,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,11,True
21563,DLN6,J10907500,〞康諾〞引流袋 (滅菌),2,2021/3/26,12,True
21564,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/3/30,13,True
29077,DLN6,J10907500,〞康諾〞引流袋 (滅菌),4,2021/4/11,14,False
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,15,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,16,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,17,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,18,True
37696,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/5/12,19,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,20,True
37697,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/5/27,21,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,22,True
46383,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/6/7,23,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,24,True
46384,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/6/23,25,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,26,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,27,True
55562,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/7/15,28,True
55563,DLN6,J10907500,〞康諾〞引流袋 (滅菌),2,2021/7/22,29,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,30,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,31,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,32,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,33,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,34,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,35,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,36,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,37,True
72698,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/9/26,38,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,39,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,40,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,41,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,42,True
80076,DLN6,J10907500,〞康諾〞引流袋 (滅菌),2,2021/10/27,43,True
88216,DLN6,J10907500,〞康諾〞引流袋 (滅菌),2,2021/11/4,44,True
88217,DLN6,J10907500,〞康諾〞引流袋 (滅菌),2,2021/11/12,45,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,46,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,47,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,48,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,49,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,50,True
94987,DLN6,J10907500,〞康諾〞引流袋 (滅菌),1,2021/12/23,51,True
21561,DLN6,J10907500,〞康諾〞引流袋 (滅菌),0,2021/3/1,52,True
