,庫房,料號,品名,數量,帳務日期,週,工作日
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,1,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,2,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,3,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,4,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,5,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,6,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,7,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,8,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,9,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,10,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,10,2021/3/18,11,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,12,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,13,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,14,True
29356,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,7,2021/4/14,15,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,16,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,17,True
38035,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,7,2021/5/3,18,False
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,19,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,20,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,21,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,22,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,23,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,24,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,25,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,26,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,27,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,28,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,29,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,30,True
64494,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,20,2021/8/5,31,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,32,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,33,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,34,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,35,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,36,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,37,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,38,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,39,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,40,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,41,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,42,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,43,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,44,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,45,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,46,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,47,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,48,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,49,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,50,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,51,True
21870,DLN6,K82430234,LABORATORY OF PLASTIC TUBE,0,2021/3/18,52,True
