,庫房,料號,品名,數量,帳務日期,週,工作日
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,1,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,2,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,1,2021/1/19,3,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,4,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,5,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,6,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,7,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,8,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,9,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,10,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,11,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,12,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,13,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,14,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,15,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,16,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,17,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,18,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,19,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,20,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,21,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,22,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,23,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,24,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,25,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,26,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,27,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,28,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,29,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,30,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,31,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,32,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,33,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,34,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,35,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,36,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,37,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,38,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,39,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,40,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,41,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,42,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,43,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,44,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,45,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,46,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,47,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,48,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,49,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,50,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,51,True
7720,DLN6,N00801503,手榴彈吸引球 125-150cc,0,2021/1/19,52,True
