,庫房,料號,品名,數量,帳務日期,週,工作日
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,1,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,2,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,3,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,4,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,5,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,6,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,7,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,8,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,9,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,10,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,11,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,12,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,13,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,14,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,15,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,16,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,17,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,18,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,19,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,20,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,21,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,22,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,23,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,24,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,25,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,26,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,27,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,28,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,1,2021/7/20,29,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,30,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,31,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,32,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,33,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,34,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,35,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,36,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,37,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,38,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,39,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,40,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,41,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,42,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,43,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,44,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,45,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,46,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,47,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,48,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,49,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,50,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,51,True
55944,DLN6,T01102013,噴霧氧氣口罩，Aerosol Mask,0,2021/7/20,52,True
