,庫房,料號,品名,數量,帳務日期,週,工作日
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,1,True
7750,DLN6,T01910532,丟棄式人工甦醒球,1,2021/1/11,2,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,3,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,4,True
14557,DLN6,T01910532,丟棄式人工甦醒球,1,2021/2/2,5,True
14558,DLN6,T01910532,丟棄式人工甦醒球,1,2021/2/8,6,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,7,True
14559,DLN6,T01910532,丟棄式人工甦醒球,1,2021/2/24,8,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,9,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,10,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,11,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,12,True
29373,DLN6,T01910532,丟棄式人工甦醒球,2,2021/4/3,13,False
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,14,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,15,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,16,True
29376,DLN6,T01910532,丟棄式人工甦醒球,5,2021/4/27,17,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,18,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,19,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,20,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,21,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,22,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,23,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,24,True
46717,DLN6,T01910532,丟棄式人工甦醒球,1,2021/6/25,25,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,26,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,27,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,28,True
55966,DLN6,T01910532,丟棄式人工甦醒球,1,2021/7/20,29,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,30,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,31,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,32,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,33,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,34,True
72992,DLN6,T01910532,丟棄式人工甦醒球,1,2021/9/1,35,True
72993,DLN6,T01910532,丟棄式人工甦醒球,1,2021/9/10,36,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,37,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,38,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,39,True
80348,DLN6,T01910532,丟棄式人工甦醒球,1,2021/10/7,40,False
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,41,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,42,True
80349,DLN6,T01910532,丟棄式人工甦醒球,1,2021/10/25,43,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,44,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,45,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,46,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,47,True
95186,DLN6,T01910532,丟棄式人工甦醒球,1,2021/12/4,48,False
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,49,True
95187,DLN6,T01910532,丟棄式人工甦醒球,1,2021/12/15,50,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,51,True
7750,DLN6,T01910532,丟棄式人工甦醒球,0,2021/1/11,52,True
