,庫房,料號,品名,數量,帳務日期,週,工作日
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,1,False
7769,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,3,2021/1/13,2,True
7770,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/1/19,3,True
7773,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,3,2021/1/27,4,True
14571,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/2/3,5,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,6,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,7,False
14572,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/2/23,8,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,9,False
21924,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,4,2021/3/12,10,True
21926,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/3/19,11,True
21929,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,3,2021/3/24,12,True
21931,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/3/31,13,True
29392,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/4/7,14,True
29393,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/4/13,15,True
29394,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/4/20,16,True
29396,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/4/28,17,True
38085,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/5/3,18,False
38086,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/5/12,19,True
38088,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/5/19,20,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,21,False
46734,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/6/3,22,True
46736,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/6/11,23,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,24,False
46738,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/6/23,25,True
46740,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/6/30,26,True
55986,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/7/11,27,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,28,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,29,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,30,False
64534,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,3,2021/8/8,31,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,32,False
64535,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/8/19,33,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,34,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,35,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,36,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,37,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,38,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,39,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,40,False
80370,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/10/14,41,True
80371,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/10/19,42,True
80373,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2,2021/10/30,43,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,44,False
88450,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/11/8,45,True
88451,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/11/17,46,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,47,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,48,False
95195,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1,2021/12/7,49,True
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,50,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,51,False
7766,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,0,2021/1/1,52,False
