,庫房,料號,品名,數量,週,工作日,帳務日期
7788,DLN6,U91700000,丟棄式導尿包,7,1,False,2021/1/10
7799,DLN6,U91700000,丟棄式導尿包,11,2,False,2021/1/17
7810,DLN6,U91700000,丟棄式導尿包,12,3,False,2021/1/24
7818,DLN6,U91700000,丟棄式導尿包,8,4,False,2021/1/31
14590,DLN6,U91700000,丟棄式導尿包,15,5,True,2021/2/5
14599,DLN6,U91700000,丟棄式導尿包,9,6,False,2021/2/13
14606,DLN6,U91700000,丟棄式導尿包,8,7,True,2021/2/19
14614,DLN6,U91700000,丟棄式導尿包,9,8,False,2021/2/27
21942,DLN6,U91700000,丟棄式導尿包,7,9,False,2021/3/7
21955,DLN6,U91700000,丟棄式導尿包,16,10,False,2021/3/13
21964,DLN6,U91700000,丟棄式導尿包,9,11,False,2021/3/21
21974,DLN6,U91700000,丟棄式導尿包,10,12,False,2021/3/27
29410,DLN6,U91700000,丟棄式導尿包,9,13,False,2021/4/4
29413,DLN6,U91700000,丟棄式導尿包,3,14,False,2021/4/11
29418,DLN6,U91700000,丟棄式導尿包,5,15,False,2021/4/17
29425,DLN6,U91700000,丟棄式導尿包,8,16,False,2021/4/24
38099,DLN6,U91700000,丟棄式導尿包,10,17,False,2021/5/2
38107,DLN6,U91700000,丟棄式導尿包,9,18,False,2021/5/9
38115,DLN6,U91700000,丟棄式導尿包,9,19,False,2021/5/16
38129,DLN6,U91700000,丟棄式導尿包,16,20,False,2021/5/23
38141,DLN6,U91700000,丟棄式導尿包,12,21,True,2021/5/27
46756,DLN6,U91700000,丟棄式導尿包,15,22,False,2021/6/6
46774,DLN6,U91700000,丟棄式導尿包,18,23,False,2021/6/13
46786,DLN6,U91700000,丟棄式導尿包,12,24,False,2021/6/20
46804,DLN6,U91700000,丟棄式導尿包,19,25,False,2021/6/27
56003,DLN6,U91700000,丟棄式導尿包,19,26,False,2021/7/4
56019,DLN6,U91700000,丟棄式導尿包,16,27,False,2021/7/11
56032,DLN6,U91700000,丟棄式導尿包,13,28,False,2021/7/18
56048,DLN6,U91700000,丟棄式導尿包,16,29,False,2021/7/25
56059,DLN6,U91700000,丟棄式導尿包,11,30,False,2021/7/31
64549,DLN6,U91700000,丟棄式導尿包,12,31,False,2021/8/8
64567,DLN6,U91700000,丟棄式導尿包,20,32,False,2021/8/15
64580,DLN6,U91700000,丟棄式導尿包,13,33,False,2021/8/21
64594,DLN6,U91700000,丟棄式導尿包,14,34,False,2021/8/29
73023,DLN6,U91700000,丟棄式導尿包,17,35,False,2021/9/5
73034,DLN6,U91700000,丟棄式導尿包,11,36,False,2021/9/11
73050,DLN6,U91700000,丟棄式導尿包,20,37,False,2021/9/19
73068,DLN6,U91700000,丟棄式導尿包,18,38,True,2021/9/26
80383,DLN6,U91700000,丟棄式導尿包,19,39,False,2021/10/3
80396,DLN6,U91700000,丟棄式導尿包,14,40,True,2021/10/9
80404,DLN6,U91700000,丟棄式導尿包,8,41,False,2021/10/17
80414,DLN6,U91700000,丟棄式導尿包,11,42,False,2021/10/24
80426,DLN6,U91700000,丟棄式導尿包,12,43,False,2021/10/31
88471,DLN6,U91700000,丟棄式導尿包,16,44,False,2021/11/6
88489,DLN6,U91700000,丟棄式導尿包,20,45,False,2021/11/14
88503,DLN6,U91700000,丟棄式導尿包,15,46,False,2021/11/21
88519,DLN6,U91700000,丟棄式導尿包,17,47,True,2021/11/26
95206,DLN6,U91700000,丟棄式導尿包,15,48,False,2021/12/5
95222,DLN6,U91700000,丟棄式導尿包,16,49,False,2021/12/12
95237,DLN6,U91700000,丟棄式導尿包,16,50,True,2021/12/17
95251,DLN6,U91700000,丟棄式導尿包,16,51,False,2021/12/25
95260,DLN6,U91700000,丟棄式導尿包,9,52,True,2021/12/29
