,庫房,料號,品名,數量,帳務日期,週,工作日
7846,DLN6,V02204118,手術刀片,0,2021/1/25,1,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,2,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,3,True
7846,DLN6,V02204118,手術刀片,1,2021/1/25,4,True
14637,DLN6,V02204118,手術刀片,2,2021/2/5,5,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,6,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,7,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,8,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,9,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,10,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,11,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,12,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,13,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,14,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,15,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,16,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,17,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,18,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,19,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,20,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,21,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,22,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,23,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,24,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,25,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,26,True
56101,DLN6,V02204118,手術刀片,1,2021/7/7,27,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,28,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,29,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,30,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,31,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,32,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,33,True
64624,DLN6,V02204118,手術刀片,1,2021/8/24,34,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,35,True
73107,DLN6,V02204118,手術刀片,1,2021/9/10,36,True
73108,DLN6,V02204118,手術刀片,1,2021/9/15,37,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,38,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,39,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,40,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,41,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,42,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,43,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,44,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,45,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,46,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,47,True
95280,DLN6,V02204118,手術刀片,1,2021/12/3,48,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,49,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,50,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,51,True
7846,DLN6,V02204118,手術刀片,0,2021/1/25,52,True
