,庫房,料號,品名,數量,帳務日期,週,工作日
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,1,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,2,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,3,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,4,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,5,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,6,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,7,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,8,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,9,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,10,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,11,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,12,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,13,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,14,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,15,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,16,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,17,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,18,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,19,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,20,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,21,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,22,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,23,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,1,2021/6/15,24,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,25,True
46842,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,1,2021/6/28,26,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,27,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,28,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,29,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,30,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,31,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,32,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,33,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,34,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,35,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,36,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,37,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,38,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,39,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,40,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,41,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,42,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,43,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,44,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,45,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,46,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,47,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,48,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,49,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,50,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,51,True
46841,DLN6,Y31060201,迪洛骨髓活體組織切片針-8G,0,2021/6/15,52,True
