,庫房,料號,品名,數量,週,工作日,帳務日期
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,3,1,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,2,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,3,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,4,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,5,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,6,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,7,True,2021/1/5
14645,DLN6,Z25211869,N95口罩(第2等級)三瓣型,3,8,True,2021/2/25
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,9,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,10,True,2021/1/5
22022,DLN6,Z25211869,N95口罩(第2等級)三瓣型,3,11,True,2021/3/18
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,12,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,13,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,14,True,2021/1/5
29475,DLN6,Z25211869,N95口罩(第2等級)三瓣型,3,15,True,2021/4/14
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,16,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,17,True,2021/1/5
38184,DLN6,Z25211869,N95口罩(第2等級)三瓣型,9,18,False,2021/5/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,19,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,20,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,21,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,22,True,2021/1/5
46851,DLN6,Z25211869,N95口罩(第2等級)三瓣型,1,23,True,2021/6/9
46853,DLN6,Z25211869,N95口罩(第2等級)三瓣型,2,24,False,2021/6/20
46854,DLN6,Z25211869,N95口罩(第2等級)三瓣型,1,25,True,2021/6/23
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,26,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,27,True,2021/1/5
56109,DLN6,Z25211869,N95口罩(第2等級)三瓣型,1,28,True,2021/7/12
56110,DLN6,Z25211869,N95口罩(第2等級)三瓣型,3,29,True,2021/7/20
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,30,True,2021/1/5
64627,DLN6,Z25211869,N95口罩(第2等級)三瓣型,6,31,True,2021/8/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,32,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,33,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,34,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,35,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,36,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,37,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,38,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,39,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,40,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,41,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,42,True,2021/1/5
80445,DLN6,Z25211869,N95口罩(第2等級)三瓣型,6,43,True,2021/10/28
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,44,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,45,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,46,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,47,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,48,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,49,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,50,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,51,True,2021/1/5
7862,DLN6,Z25211869,N95口罩(第2等級)三瓣型,0,52,True,2021/1/5
