,庫房,料號,品名,數量,週,工作日,帳務日期
1870,DLI1,A04200020,精密控制輸液套附免針加藥座,25.0,1,False,2021-01-10
1888,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,2,False,2021-01-17
1908,DLI1,A04200020,精密控制輸液套附免針加藥座,21.0,3,False,2021-01-24
1930,DLI1,A04200020,精密控制輸液套附免針加藥座,22.0,4,False,2021-01-31
6586,DLI1,A04200020,精密控制輸液套附免針加藥座,20.0,5,True,2021-02-07
6606,DLI1,A04200020,精密控制輸液套附免針加藥座,22.0,6,False,2021-02-14
6620,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,7,False,2021-02-21
6645,DLI1,A04200020,精密控制輸液套附免針加藥座,29.0,8,False,2021-02-28
10556,DLI1,A04200020,精密控制輸液套附免針加藥座,12.0,9,False,2021-03-07
10573,DLI1,A04200020,精密控制輸液套附免針加藥座,17.0,10,False,2021-03-14
10580,DLI1,A04200020,精密控制輸液套附免針加藥座,8.0,11,False,2021-03-21
10593,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,12,False,2021-03-28
14505,DLI1,A04200020,精密控制輸液套附免針加藥座,21.0,13,False,2021-04-04
14525,DLI1,A04200020,精密控制輸液套附免針加藥座,21.0,14,False,2021-04-11
14541,DLI1,A04200020,精密控制輸液套附免針加藥座,17.0,15,False,2021-04-18
14558,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,16,True,2021-04-25
18956,DLI1,A04200020,精密控制輸液套附免針加藥座,20.0,17,False,2021-05-02
18972,DLI1,A04200020,精密控制輸液套附免針加藥座,17.0,18,False,2021-05-09
18986,DLI1,A04200020,精密控制輸液套附免針加藥座,14.0,19,False,2021-05-16
19004,DLI1,A04200020,精密控制輸液套附免針加藥座,22.0,20,False,2021-05-23
19017,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,21,False,2021-05-30
23687,DLI1,A04200020,精密控制輸液套附免針加藥座,27.0,22,False,2021-06-06
23703,DLI1,A04200020,精密控制輸液套附免針加藥座,18.0,23,False,2021-06-13
23721,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,24,False,2021-06-20
23736,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,25,False,2021-06-27
28326,DLI1,A04200020,精密控制輸液套附免針加藥座,24.0,26,False,2021-07-04
28344,DLI1,A04200020,精密控制輸液套附免針加藥座,20.0,27,False,2021-07-11
28363,DLI1,A04200020,精密控制輸液套附免針加藥座,23.0,28,False,2021-07-18
28381,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,29,False,2021-07-25
32895,DLI1,A04200020,精密控制輸液套附免針加藥座,20.0,30,False,2021-08-01
32917,DLI1,A04200020,精密控制輸液套附免針加藥座,23.0,31,False,2021-08-08
32938,DLI1,A04200020,精密控制輸液套附免針加藥座,23.0,32,False,2021-08-14
32954,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,33,False,2021-08-22
32975,DLI1,A04200020,精密控制輸液套附免針加藥座,21.0,34,False,2021-08-29
37594,DLI1,A04200020,精密控制輸液套附免針加藥座,21.0,35,False,2021-09-05
37607,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,36,False,2021-09-12
37625,DLI1,A04200020,精密控制輸液套附免針加藥座,19.0,37,False,2021-09-19
37642,DLI1,A04200020,精密控制輸液套附免針加藥座,18.0,38,True,2021-09-26
41894,DLI1,A04200020,精密控制輸液套附免針加藥座,17.0,39,False,2021-10-03
41914,DLI1,A04200020,精密控制輸液套附免針加藥座,22.0,40,False,2021-10-10
41931,DLI1,A04200020,精密控制輸液套附免針加藥座,18.0,41,False,2021-10-17
41944,DLI1,A04200020,精密控制輸液套附免針加藥座,13.0,42,False,2021-10-24
41953,DLI1,A04200020,精密控制輸液套附免針加藥座,14.0,43,True,2021-10-29
45985,DLI1,A04200020,精密控制輸液套附免針加藥座,16.0,44,False,2021-11-07
46006,DLI1,A04200020,精密控制輸液套附免針加藥座,22.0,45,False,2021-11-14
46023,DLI1,A04200020,精密控制輸液套附免針加藥座,23.0,46,False,2021-11-21
46035,DLI1,A04200020,精密控制輸液套附免針加藥座,13.0,47,False,2021-11-28
49950,DLI1,A04200020,精密控制輸液套附免針加藥座,9.0,48,False,2021-12-05
49965,DLI1,A04200020,精密控制輸液套附免針加藥座,15.0,49,False,2021-12-12
49976,DLI1,A04200020,精密控制輸液套附免針加藥座,11.0,50,False,2021-12-19
49991,DLI1,A04200020,精密控制輸液套附免針加藥座,16.0,51,False,2021-12-26
49996,DLI1,A04200020,精密控制輸液套附免針加藥座,5.0,52,True,2021-12-28
