,庫房,料號,品名,數量,帳務日期,週,工作日
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,1,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,2,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,3,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,4,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,5,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,6,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,7,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,8,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,1.0,2021-03-06,9,False
11159,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,1.0,2021-03-12,10,True
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,11,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,12,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,13,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,14,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,15,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,16,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,17,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,18,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,19,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,20,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,21,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,22,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,23,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,24,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,25,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,26,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,27,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,28,False
29098,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,1.0,2021-07-21,29,True
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,30,False
33896,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,1.0,2021-08-08,31,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,32,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,33,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,34,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,35,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,36,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,37,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,38,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,39,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,40,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,41,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,42,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,43,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,44,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,45,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,46,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,47,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,48,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,49,False
50701,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,1.0,2021-12-14,50,True
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,51,False
11158,DLI1,A04411370,胰島素筆型注射器針頭32G x 4mm,0.0,2021-03-06,52,False
