,庫房,料號,品名,數量,帳務日期,週,工作日
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,1,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,2,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,3,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,4,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,5,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,6,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,7,True
7380,DLI1,A46443607,硝酸甘油輸液套,1.0,2021-02-24,8,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,9,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,10,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,11,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,12,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,13,True
15351,DLI1,A46443607,硝酸甘油輸液套,2.0,2021-04-06,14,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,15,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,16,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,17,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,18,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,19,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,20,True
19865,DLI1,A46443607,硝酸甘油輸液套,1.0,2021-05-30,21,False
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,22,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,23,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,24,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,25,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,26,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,27,True
29155,DLI1,A46443607,硝酸甘油輸液套,2.0,2021-07-17,28,False
29160,DLI1,A46443607,硝酸甘油輸液套,4.0,2021-07-24,29,False
29162,DLI1,A46443607,硝酸甘油輸液套,1.0,2021-07-26,30,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,31,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,32,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,33,True
33939,DLI1,A46443607,硝酸甘油輸液套,1.0,2021-08-29,34,False
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,35,True
38531,DLI1,A46443607,硝酸甘油輸液套,1.0,2021-09-07,36,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,37,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,38,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,39,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,40,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,41,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,42,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,43,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,44,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,45,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,46,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,47,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,48,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,49,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,50,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,51,True
7380,DLI1,A46443607,硝酸甘油輸液套,0.0,2021-02-24,52,True
