,庫房,料號,品名,數量,帳務日期,週,工作日
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,1,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,2,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,3,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,4,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,5,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,6,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,7,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,8,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,9,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,10,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,11,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,12,True
15613,DLI1,B08142226,紗布墊 2〞x2〞x8ply,2.0,2021-04-01,13,True
15615,DLI1,B08142226,紗布墊 2〞x2〞x8ply,2.0,2021-04-08,14,True
15617,DLI1,B08142226,紗布墊 2〞x2〞x8ply,2.0,2021-04-15,15,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,16,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,17,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,18,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,19,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,20,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,21,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,22,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,23,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,24,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,25,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,26,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,27,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,28,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,29,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,30,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,31,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,32,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,33,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,34,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,35,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,36,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,37,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,38,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,39,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,40,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,41,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,42,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,43,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,44,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,45,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,46,True
46990,DLI1,B08142226,紗布墊 2〞x2〞x8ply,3.0,2021-11-23,47,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,48,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,49,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,50,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,51,True
11447,DLI1,B08142226,紗布墊 2〞x2〞x8ply,0.0,2021-03-31,52,True
