,庫房,料號,品名,數量,帳務日期,週,工作日
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,1,False
3119,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-01-16,2,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,3,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,4,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,5,False
7709,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-02-11,6,False
7711,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-02-19,7,True
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,8,False
11507,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-03-07,9,False
11508,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-03-08,10,True
11510,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-03-20,11,False
11511,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-03-27,12,False
15676,DLI1,C00211067,橡皮導尿管1wayNo12美規,3.0,2021-04-04,13,False
15678,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-04-10,14,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,15,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,16,False
20201,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-05-02,17,False
20203,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-05-04,18,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,19,False
20204,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-05-18,20,True
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,21,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,22,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,23,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,24,False
24849,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-06-25,25,True
24847,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-06-30,26,True
29521,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-07-09,27,True
29522,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-07-12,28,True
29523,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-07-21,29,True
29524,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-07-31,30,False
34226,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-08-03,31,True
34227,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-08-13,32,True
34229,DLI1,C00211067,橡皮導尿管1wayNo12美規,3.0,2021-08-21,33,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,34,False
38807,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-09-05,35,False
38809,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-09-10,36,True
38812,DLI1,C00211067,橡皮導尿管1wayNo12美規,4.0,2021-09-15,37,True
38813,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-09-22,38,True
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,39,False
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,40,False
42947,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-10-16,41,False
42948,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-10-24,42,False
42949,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-10-29,43,True
47060,DLI1,C00211067,橡皮導尿管1wayNo12美規,3.0,2021-11-06,44,False
47061,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-11-14,45,False
47062,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-11-18,46,True
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,47,False
51054,DLI1,C00211067,橡皮導尿管1wayNo12美規,1.0,2021-12-04,48,False
51056,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-12-09,49,True
3118,DLI1,C00211067,橡皮導尿管1wayNo12美規,0.0,2021-01-03,50,False
51058,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-12-25,51,False
51060,DLI1,C00211067,橡皮導尿管1wayNo12美規,2.0,2021-12-30,52,True
