,庫房,料號,品名,數量,週,工作日,帳務日期
3629,DLI1,C13930399,T型連接管,55.0,1,False,2021-01-10
3656,DLI1,C13930399,T型連接管,34.0,2,False,2021-01-17
3682,DLI1,C13930399,T型連接管,36.0,3,False,2021-01-24
3708,DLI1,C13930399,T型連接管,32.0,4,False,2021-01-30
8152,DLI1,C13930399,T型連接管,27.0,5,True,2021-02-07
8183,DLI1,C13930399,T型連接管,46.0,6,False,2021-02-14
8206,DLI1,C13930399,T型連接管,32.0,7,False,2021-02-21
8227,DLI1,C13930399,T型連接管,35.0,8,False,2021-02-28
11846,DLI1,C13930399,T型連接管,30.0,9,False,2021-03-07
11860,DLI1,C13930399,T型連接管,20.0,10,False,2021-03-14
11884,DLI1,C13930399,T型連接管,33.0,11,False,2021-03-21
11900,DLI1,C13930399,T型連接管,29.0,12,False,2021-03-28
16140,DLI1,C13930399,T型連接管,35.0,13,False,2021-04-04
16171,DLI1,C13930399,T型連接管,42.0,14,False,2021-04-11
16195,DLI1,C13930399,T型連接管,25.0,15,False,2021-04-18
16216,DLI1,C13930399,T型連接管,31.0,16,True,2021-04-25
20670,DLI1,C13930399,T型連接管,30.0,17,False,2021-05-02
20691,DLI1,C13930399,T型連接管,24.0,18,False,2021-05-09
20714,DLI1,C13930399,T型連接管,32.0,19,False,2021-05-16
20732,DLI1,C13930399,T型連接管,26.0,20,False,2021-05-23
20759,DLI1,C13930399,T型連接管,43.0,21,False,2021-05-30
25361,DLI1,C13930399,T型連接管,45.0,22,False,2021-06-06
25395,DLI1,C13930399,T型連接管,49.0,23,False,2021-06-13
25424,DLI1,C13930399,T型連接管,43.0,24,False,2021-06-20
25449,DLI1,C13930399,T型連接管,42.0,25,False,2021-06-27
30006,DLI1,C13930399,T型連接管,38.0,26,False,2021-07-04
30042,DLI1,C13930399,T型連接管,54.0,27,False,2021-07-11
30073,DLI1,C13930399,T型連接管,51.0,28,False,2021-07-18
30097,DLI1,C13930399,T型連接管,35.0,29,False,2021-07-25
34645,DLI1,C13930399,T型連接管,27.0,30,False,2021-08-01
34666,DLI1,C13930399,T型連接管,28.0,31,False,2021-08-08
34681,DLI1,C13930399,T型連接管,23.0,32,False,2021-08-15
34704,DLI1,C13930399,T型連接管,30.0,33,False,2021-08-22
34740,DLI1,C13930399,T型連接管,49.0,34,False,2021-08-29
39216,DLI1,C13930399,T型連接管,39.0,35,False,2021-09-05
39237,DLI1,C13930399,T型連接管,26.0,36,False,2021-09-12
39265,DLI1,C13930399,T型連接管,40.0,37,False,2021-09-19
39295,DLI1,C13930399,T型連接管,39.0,38,True,2021-09-26
43349,DLI1,C13930399,T型連接管,20.0,39,False,2021-10-03
43364,DLI1,C13930399,T型連接管,22.0,40,False,2021-10-10
43381,DLI1,C13930399,T型連接管,24.0,41,False,2021-10-17
43407,DLI1,C13930399,T型連接管,36.0,42,False,2021-10-24
43417,DLI1,C13930399,T型連接管,24.0,43,True,2021-10-29
47456,DLI1,C13930399,T型連接管,23.0,44,False,2021-11-07
47478,DLI1,C13930399,T型連接管,31.0,45,False,2021-11-14
47500,DLI1,C13930399,T型連接管,29.0,46,False,2021-11-21
47523,DLI1,C13930399,T型連接管,33.0,47,False,2021-11-28
51416,DLI1,C13930399,T型連接管,19.0,48,False,2021-12-05
51431,DLI1,C13930399,T型連接管,22.0,49,False,2021-12-12
51458,DLI1,C13930399,T型連接管,39.0,50,False,2021-12-19
51483,DLI1,C13930399,T型連接管,28.0,51,False,2021-12-26
51491,DLI1,C13930399,T型連接管,10.0,52,True,2021-12-29
