,庫房,料號,品名,數量,帳務日期,週,工作日
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,1,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,2,True
3854,DLI1,D00669305,3-0   尼龍線,1.0,2021-01-21,3,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,4,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,5,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,6,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,7,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,8,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,9,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,10,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,11,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,12,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,13,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,14,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,15,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,16,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,17,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,18,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,19,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,20,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,21,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,22,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,23,True
25572,DLI1,D00669305,3-0   尼龍線,1.0,2021-06-14,24,False
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,25,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,26,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,27,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,28,True
30223,DLI1,D00669305,3-0   尼龍線,1.0,2021-07-22,29,True
30224,DLI1,D00669305,3-0   尼龍線,1.0,2021-07-28,30,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,31,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,32,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,33,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,34,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,35,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,36,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,37,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,38,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,39,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,40,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,41,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,42,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,43,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,44,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,45,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,46,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,47,True
51600,DLI1,D00669305,3-0   尼龍線,2.0,2021-12-05,48,False
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,49,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,50,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,51,True
3854,DLI1,D00669305,3-0   尼龍線,0.0,2021-01-21,52,True
