,庫房,料號,品名,數量,帳務日期,週,工作日
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,1,True
3857,DLI1,F00230005,胸腔引流瓶,4.0,2021-01-15,2,True
3858,DLI1,F00230005,胸腔引流瓶,1.0,2021-01-21,3,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,4,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,5,True
8345,DLI1,F00230005,胸腔引流瓶,4.0,2021-02-14,6,False
8346,DLI1,F00230005,胸腔引流瓶,2.0,2021-02-17,7,False
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,8,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,9,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,10,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,11,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,12,True
16346,DLI1,F00230005,胸腔引流瓶,1.0,2021-04-03,13,False
16348,DLI1,F00230005,胸腔引流瓶,2.0,2021-04-09,14,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,15,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,16,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,17,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,18,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,19,True
20888,DLI1,F00230005,胸腔引流瓶,4.0,2021-05-23,20,False
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,21,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,22,True
25573,DLI1,F00230005,胸腔引流瓶,2.0,2021-06-09,23,True
25574,DLI1,F00230005,胸腔引流瓶,3.0,2021-06-14,24,False
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,25,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,26,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,27,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,28,True
30226,DLI1,F00230005,胸腔引流瓶,2.0,2021-07-25,29,False
30228,DLI1,F00230005,胸腔引流瓶,2.0,2021-07-30,30,True
34860,DLI1,F00230005,胸腔引流瓶,3.0,2021-08-06,31,True
34861,DLI1,F00230005,胸腔引流瓶,1.0,2021-08-09,32,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,33,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,34,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,35,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,36,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,37,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,38,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,39,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,40,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,41,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,42,True
43544,DLI1,F00230005,胸腔引流瓶,1.0,2021-10-26,43,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,44,True
47631,DLI1,F00230005,胸腔引流瓶,2.0,2021-11-14,45,False
47633,DLI1,F00230005,胸腔引流瓶,2.0,2021-11-17,46,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,47,True
51602,DLI1,F00230005,胸腔引流瓶,2.0,2021-12-04,48,False
51604,DLI1,F00230005,胸腔引流瓶,2.0,2021-12-09,49,True
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,50,True
51606,DLI1,F00230005,胸腔引流瓶,2.0,2021-12-26,51,False
3855,DLI1,F00230005,胸腔引流瓶,0.0,2021-01-11,52,True
