,庫房,料號,品名,數量,帳務日期,週,工作日
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,1,False
3862,DLI1,F01700003,真空吸引瓶,1.0,2021-01-17,2,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,3,False
3863,DLI1,F01700003,真空吸引瓶,5.0,2021-01-30,4,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,5,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,6,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,7,False
8348,DLI1,F01700003,真空吸引瓶,3.0,2021-02-24,8,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,9,False
12004,DLI1,F01700003,真空吸引瓶,2.0,2021-03-08,10,True
12005,DLI1,F01700003,真空吸引瓶,1.0,2021-03-18,11,True
12006,DLI1,F01700003,真空吸引瓶,2.0,2021-03-25,12,True
16351,DLI1,F01700003,真空吸引瓶,8.0,2021-04-03,13,False
16355,DLI1,F01700003,真空吸引瓶,8.0,2021-04-10,14,False
16356,DLI1,F01700003,真空吸引瓶,1.0,2021-04-13,15,True
16357,DLI1,F01700003,真空吸引瓶,3.0,2021-04-19,16,True
16360,DLI1,F01700003,真空吸引瓶,6.0,2021-04-28,17,True
20892,DLI1,F01700003,真空吸引瓶,5.0,2021-05-05,18,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,19,False
20893,DLI1,F01700003,真空吸引瓶,2.0,2021-05-20,20,True
20894,DLI1,F01700003,真空吸引瓶,2.0,2021-05-26,21,True
25578,DLI1,F01700003,真空吸引瓶,9.0,2021-06-06,22,False
25581,DLI1,F01700003,真空吸引瓶,4.0,2021-06-11,23,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,24,False
25583,DLI1,F01700003,真空吸引瓶,4.0,2021-06-23,25,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,26,False
30232,DLI1,F01700003,真空吸引瓶,2.0,2021-07-10,27,False
30233,DLI1,F01700003,真空吸引瓶,1.0,2021-07-16,28,True
30235,DLI1,F01700003,真空吸引瓶,3.0,2021-07-23,29,True
30237,DLI1,F01700003,真空吸引瓶,3.0,2021-07-27,30,True
34866,DLI1,F01700003,真空吸引瓶,2.0,2021-08-04,31,True
34868,DLI1,F01700003,真空吸引瓶,5.0,2021-08-11,32,True
34869,DLI1,F01700003,真空吸引瓶,1.0,2021-08-17,33,True
34871,DLI1,F01700003,真空吸引瓶,3.0,2021-08-29,34,False
39429,DLI1,F01700003,真空吸引瓶,1.0,2021-09-01,35,True
39430,DLI1,F01700003,真空吸引瓶,2.0,2021-09-07,36,True
39432,DLI1,F01700003,真空吸引瓶,5.0,2021-09-15,37,True
39433,DLI1,F01700003,真空吸引瓶,1.0,2021-09-23,38,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,39,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,40,False
43549,DLI1,F01700003,真空吸引瓶,2.0,2021-10-13,41,True
43550,DLI1,F01700003,真空吸引瓶,2.0,2021-10-22,42,True
43551,DLI1,F01700003,真空吸引瓶,1.0,2021-10-28,43,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,44,False
47639,DLI1,F01700003,真空吸引瓶,1.0,2021-11-12,45,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,46,False
47640,DLI1,F01700003,真空吸引瓶,4.0,2021-11-25,47,True
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,48,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,49,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,50,False
51609,DLI1,F01700003,真空吸引瓶,4.0,2021-12-26,51,False
3862,DLI1,F01700003,真空吸引瓶,0.0,2021-01-17,52,False
