,庫房,料號,品名,數量,週,工作日,帳務日期
3866,DLI1,F36005006,單一無菌引流袋 500cc,3.0,1,True,2021-01-05
3868,DLI1,F36005006,單一無菌引流袋 500cc,2.0,2,False,2021-01-16
3870,DLI1,F36005006,單一無菌引流袋 500cc,2.0,3,False,2021-01-24
3875,DLI1,F36005006,單一無菌引流袋 500cc,5.0,4,False,2021-01-31
8351,DLI1,F36005006,單一無菌引流袋 500cc,3.0,5,True,2021-02-04
8356,DLI1,F36005006,單一無菌引流袋 500cc,5.0,6,False,2021-02-13
8357,DLI1,F36005006,單一無菌引流袋 500cc,1.0,7,False,2021-02-16
8360,DLI1,F36005006,單一無菌引流袋 500cc,3.0,8,False,2021-02-28
12008,DLI1,F36005006,單一無菌引流袋 500cc,2.0,9,False,2021-03-07
12010,DLI1,F36005006,單一無菌引流袋 500cc,3.0,10,True,2021-03-12
12013,DLI1,F36005006,單一無菌引流袋 500cc,3.0,11,False,2021-03-20
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,12,True,2021-01-04
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,13,True,2021-01-04
16363,DLI1,F36005006,單一無菌引流袋 500cc,3.0,14,False,2021-04-10
16368,DLI1,F36005006,單一無菌引流袋 500cc,5.0,15,False,2021-04-18
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,16,True,2021-01-04
16370,DLI1,F36005006,單一無菌引流袋 500cc,2.0,17,True,2021-04-30
20896,DLI1,F36005006,單一無菌引流袋 500cc,1.0,18,False,2021-05-04
20897,DLI1,F36005006,單一無菌引流袋 500cc,1.0,19,False,2021-05-16
20899,DLI1,F36005006,單一無菌引流袋 500cc,2.0,20,False,2021-05-23
20901,DLI1,F36005006,單一無菌引流袋 500cc,2.0,21,False,2021-05-29
25586,DLI1,F36005006,單一無菌引流袋 500cc,3.0,22,True,2021-06-04
25589,DLI1,F36005006,單一無菌引流袋 500cc,3.0,23,True,2021-06-09
25593,DLI1,F36005006,單一無菌引流袋 500cc,4.0,24,False,2021-06-20
25594,DLI1,F36005006,單一無菌引流袋 500cc,1.0,25,False,2021-06-27
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,26,True,2021-01-04
30239,DLI1,F36005006,單一無菌引流袋 500cc,2.0,27,False,2021-07-10
30242,DLI1,F36005006,單一無菌引流袋 500cc,3.0,28,True,2021-07-13
30243,DLI1,F36005006,單一無菌引流袋 500cc,1.0,29,True,2021-07-19
30244,DLI1,F36005006,單一無菌引流袋 500cc,1.0,30,False,2021-07-31
34873,DLI1,F36005006,單一無菌引流袋 500cc,2.0,31,True,2021-08-05
34875,DLI1,F36005006,單一無菌引流袋 500cc,2.0,32,True,2021-08-13
34879,DLI1,F36005006,單一無菌引流袋 500cc,4.0,33,True,2021-08-20
34882,DLI1,F36005006,單一無菌引流袋 500cc,3.0,34,True,2021-08-26
39438,DLI1,F36005006,單一無菌引流袋 500cc,6.0,35,False,2021-09-05
39439,DLI1,F36005006,單一無菌引流袋 500cc,1.0,36,False,2021-09-12
39441,DLI1,F36005006,單一無菌引流袋 500cc,2.0,37,True,2021-09-18
39444,DLI1,F36005006,單一無菌引流袋 500cc,3.0,38,False,2021-09-25
43553,DLI1,F36005006,單一無菌引流袋 500cc,5.0,39,False,2021-10-03
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,40,True,2021-01-04
43555,DLI1,F36005006,單一無菌引流袋 500cc,2.0,41,False,2021-10-17
43556,DLI1,F36005006,單一無菌引流袋 500cc,1.0,42,False,2021-10-23
43557,DLI1,F36005006,單一無菌引流袋 500cc,1.0,43,True,2021-10-28
47645,DLI1,F36005006,單一無菌引流袋 500cc,2.0,44,False,2021-11-06
47647,DLI1,F36005006,單一無菌引流袋 500cc,2.0,45,True,2021-11-12
47650,DLI1,F36005006,單一無菌引流袋 500cc,4.0,46,True,2021-11-19
47653,DLI1,F36005006,單一無菌引流袋 500cc,3.0,47,True,2021-11-25
51612,DLI1,F36005006,單一無菌引流袋 500cc,6.0,48,False,2021-12-05
51615,DLI1,F36005006,單一無菌引流袋 500cc,3.0,49,False,2021-12-12
51616,DLI1,F36005006,單一無菌引流袋 500cc,1.0,50,True,2021-12-16
51618,DLI1,F36005006,單一無菌引流袋 500cc,2.0,51,True,2021-12-23
3864,DLI1,F36005006,單一無菌引流袋 500cc,0.0,52,True,2021-01-04
