,庫房,料號,品名,數量,週,工作日,帳務日期
4583,DLI1,I16200040,CPUI用細菌過濾器,1.0,1,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,2,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,3,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,4,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,5,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,6,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,7,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,8,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,9,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,10,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,11,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,12,True,2021-01-05
16999,DLI1,I16200040,CPUI用細菌過濾器,1.0,13,False,2021-04-03
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,14,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,15,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,16,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,17,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,18,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,19,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,20,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,21,True,2021-01-05
26226,DLI1,I16200040,CPUI用細菌過濾器,10.0,22,False,2021-06-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,23,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,24,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,25,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,26,True,2021-01-05
30822,DLI1,I16200040,CPUI用細菌過濾器,2.0,27,True,2021-07-09
30823,DLI1,I16200040,CPUI用細菌過濾器,1.0,28,True,2021-07-14
30827,DLI1,I16200040,CPUI用細菌過濾器,4.0,29,False,2021-07-25
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,30,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,31,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,32,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,33,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,34,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,35,True,2021-01-05
40194,DLI1,I16200040,CPUI用細菌過濾器,3.0,36,False,2021-09-12
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,37,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,38,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,39,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,40,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,41,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,42,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,43,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,44,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,45,True,2021-01-05
48283,DLI1,I16200040,CPUI用細菌過濾器,5.0,46,False,2021-11-21
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,47,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,48,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,49,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,50,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,51,True,2021-01-05
4583,DLI1,I16200040,CPUI用細菌過濾器,0.0,52,True,2021-01-05
