,庫房,料號,品名,數量,帳務日期,週,工作日
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,1,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,2,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,3,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,4,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,5,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,6,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,7,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,8,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,9,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,10,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,11,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,12,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,13,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,14,True
17000,DLI1,I17100002,大人電刀迥路片,1.0,2021-04-12,15,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,16,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,17,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,18,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,19,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,20,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,21,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,22,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,23,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,24,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,25,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,26,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,27,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,28,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,29,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,30,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,31,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,32,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,33,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,34,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,35,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,36,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,37,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,38,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,39,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,40,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,41,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,42,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,43,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,44,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,45,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,46,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,47,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,48,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,49,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,50,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,51,True
17000,DLI1,I17100002,大人電刀迥路片,0.0,2021-04-12,52,True
