,庫房,料號,品名,數量,帳務日期,週,工作日
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,1,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,2,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,3,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,4,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,5,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,6,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,7,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,8,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,9,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-03-09,10,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,11,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,12,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,13,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,14,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,15,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,16,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,17,True
21628,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-05-06,18,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,19,True
21629,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-05-20,20,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,21,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,22,True
26254,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-06-07,23,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,24,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,25,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,26,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,27,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,28,True
30867,DLI1,J10907500,〞康諾〞引流袋 (滅菌),3.0,2021-07-24,29,False
30868,DLI1,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-07-28,30,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,31,True
35733,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-08-14,32,False
35735,DLI1,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-08-22,33,False
35736,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-08-23,34,True
40220,DLI1,J10907500,〞康諾〞引流袋 (滅菌),1.0,2021-09-03,35,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,36,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,37,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,38,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,39,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,40,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,41,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,42,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,43,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,44,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,45,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,46,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,47,True
48318,DLI1,J10907500,〞康諾〞引流袋 (滅菌),2.0,2021-11-30,48,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,49,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,50,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,51,True
12514,DLI1,J10907500,〞康諾〞引流袋 (滅菌),0.0,2021-03-09,52,True
