,庫房,料號,品名,數量,週,工作日,帳務日期
4655,DLI1,K82430329,痰盒-綠蓋,1.0,1,True,2021-01-05
4657,DLI1,K82430329,痰盒-綠蓋,2.0,2,False,2021-01-17
4659,DLI1,K82430329,痰盒-綠蓋,2.0,3,False,2021-01-24
4660,DLI1,K82430329,痰盒-綠蓋,1.0,4,True,2021-01-27
4655,DLI1,K82430329,痰盒-綠蓋,0.0,5,True,2021-01-05
8980,DLI1,K82430329,痰盒-綠蓋,1.0,6,False,2021-02-14
4655,DLI1,K82430329,痰盒-綠蓋,0.0,7,True,2021-01-05
8981,DLI1,K82430329,痰盒-綠蓋,1.0,8,True,2021-02-23
4655,DLI1,K82430329,痰盒-綠蓋,0.0,9,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,10,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,11,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,12,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,13,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,14,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,15,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,16,True,2021-01-05
17059,DLI1,K82430329,痰盒-綠蓋,1.0,17,True,2021-04-26
4655,DLI1,K82430329,痰盒-綠蓋,0.0,18,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,19,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,20,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,21,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,22,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,23,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,24,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,25,True,2021-01-05
26273,DLI1,K82430329,痰盒-綠蓋,2.0,26,True,2021-06-30
30891,DLI1,K82430329,痰盒-綠蓋,1.0,27,True,2021-07-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,28,True,2021-01-05
30892,DLI1,K82430329,痰盒-綠蓋,1.0,29,True,2021-07-23
4655,DLI1,K82430329,痰盒-綠蓋,0.0,30,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,31,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,32,True,2021-01-05
35754,DLI1,K82430329,痰盒-綠蓋,2.0,33,True,2021-08-20
4655,DLI1,K82430329,痰盒-綠蓋,0.0,34,True,2021-01-05
40238,DLI1,K82430329,痰盒-綠蓋,1.0,35,True,2021-09-02
4655,DLI1,K82430329,痰盒-綠蓋,0.0,36,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,37,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,38,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,39,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,40,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,41,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,42,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,43,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,44,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,45,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,46,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,47,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,48,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,49,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,50,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,51,True,2021-01-05
4655,DLI1,K82430329,痰盒-綠蓋,0.0,52,True,2021-01-05
