,庫房,料號,品名,數量,帳務日期,週,工作日
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,1,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,2,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,3,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,4,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,5,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,6,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,7,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,8,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,9,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,10,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,11,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,12,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,13,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,14,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,15,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,16,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,17,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,18,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,19,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,20,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,21,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,22,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,23,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,24,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,25,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,26,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,27,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,28,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,29,True
30897,DLI1,P21800002,Lapack  人工肛門袋,14.0,2021-07-28,30,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,31,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,32,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,33,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,34,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,35,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,36,True
40241,DLI1,P21800002,Lapack  人工肛門袋,7.0,2021-09-19,37,False
40243,DLI1,P21800002,Lapack  人工肛門袋,4.0,2021-09-23,38,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,39,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,40,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,41,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,42,True
44191,DLI1,P21800002,Lapack  人工肛門袋,3.0,2021-10-31,43,False
48332,DLI1,P21800002,Lapack  人工肛門袋,3.0,2021-11-01,44,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,45,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,46,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,47,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,48,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,49,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,50,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,51,True
30894,DLI1,P21800002,Lapack  人工肛門袋,0.0,2021-07-26,52,True
