,庫房,料號,品名,數量,週,工作日,帳務日期
4690,DLI1,T01910532,丟棄式人工甦醒球,5.0,1,True,2021-01-08
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,2,True,2021-01-04
4691,DLI1,T01910532,丟棄式人工甦醒球,1.0,3,True,2021-01-19
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,4,True,2021-01-04
8997,DLI1,T01910532,丟棄式人工甦醒球,3.0,5,True,2021-02-04
8999,DLI1,T01910532,丟棄式人工甦醒球,2.0,6,False,2021-02-11
9000,DLI1,T01910532,丟棄式人工甦醒球,1.0,7,False,2021-02-16
9001,DLI1,T01910532,丟棄式人工甦醒球,1.0,8,True,2021-02-26
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,9,True,2021-01-04
12550,DLI1,T01910532,丟棄式人工甦醒球,1.0,10,True,2021-03-10
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,11,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,12,True,2021-01-04
12551,DLI1,T01910532,丟棄式人工甦醒球,1.0,13,True,2021-03-31
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,14,True,2021-01-04
17076,DLI1,T01910532,丟棄式人工甦醒球,3.0,15,False,2021-04-18
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,16,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,17,True,2021-01-04
21661,DLI1,T01910532,丟棄式人工甦醒球,1.0,18,False,2021-05-09
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,19,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,20,True,2021-01-04
21663,DLI1,T01910532,丟棄式人工甦醒球,2.0,21,True,2021-05-28
26293,DLI1,T01910532,丟棄式人工甦醒球,1.0,22,True,2021-06-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,23,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,24,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,25,True,2021-01-04
26292,DLI1,T01910532,丟棄式人工甦醒球,1.0,26,True,2021-06-28
30916,DLI1,T01910532,丟棄式人工甦醒球,2.0,27,True,2021-07-09
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,28,True,2021-01-04
30918,DLI1,T01910532,丟棄式人工甦醒球,2.0,29,True,2021-07-21
30919,DLI1,T01910532,丟棄式人工甦醒球,1.0,30,False,2021-07-31
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,31,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,32,True,2021-01-04
35776,DLI1,T01910532,丟棄式人工甦醒球,3.0,33,True,2021-08-20
35778,DLI1,T01910532,丟棄式人工甦醒球,2.0,34,False,2021-08-28
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,35,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,36,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,37,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,38,True,2021-01-04
40257,DLI1,T01910532,丟棄式人工甦醒球,1.0,39,True,2021-09-29
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,40,True,2021-01-04
44207,DLI1,T01910532,丟棄式人工甦醒球,2.0,41,True,2021-10-13
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,42,True,2021-01-04
44208,DLI1,T01910532,丟棄式人工甦醒球,1.0,43,True,2021-10-25
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,44,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,45,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,46,True,2021-01-04
4687,DLI1,T01910532,丟棄式人工甦醒球,0.0,47,True,2021-01-04
48356,DLI1,T01910532,丟棄式人工甦醒球,1.0,48,True,2021-11-29
52297,DLI1,T01910532,丟棄式人工甦醒球,2.0,49,True,2021-12-09
52298,DLI1,T01910532,丟棄式人工甦醒球,1.0,50,True,2021-12-16
52299,DLI1,T01910532,丟棄式人工甦醒球,1.0,51,True,2021-12-20
52300,DLI1,T01910532,丟棄式人工甦醒球,1.0,52,True,2021-12-28
