,庫房,料號,品名,數量,帳務日期,週,工作日
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,1,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,2,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,3,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,4,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,5,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,6,False
9003,DLI1,T02302016,咬口器 Bite-Block,1.0,2021-02-16,7,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,8,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,9,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,10,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,11,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,12,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,13,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,14,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,15,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,16,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,17,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,18,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,19,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,20,False
21671,DLI1,T02302016,咬口器 Bite-Block,1.0,2021-05-28,21,True
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,22,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,23,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,24,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,25,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,26,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,27,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,28,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,29,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,30,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,31,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,32,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,33,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,34,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,35,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,36,False
40262,DLI1,T02302016,咬口器 Bite-Block,1.0,2021-09-17,37,True
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,38,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,39,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,40,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,41,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,42,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,43,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,44,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,45,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,46,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,47,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,48,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,49,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,50,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,51,False
9003,DLI1,T02302016,咬口器 Bite-Block,0.0,2021-02-16,52,False
