,庫房,料號,品名,數量,帳務日期,週,工作日
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,1,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,2,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,3,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,4,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,5,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,6,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,7,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,8,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,9,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,10,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,11,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,12,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,13,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,14,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,15,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,16,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,17,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,18,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,19,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,20,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,21,True
26472,DLI1,U04110009,體外心臟節律貼片,1.0,2021-06-02,22,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,23,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,24,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,25,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,26,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,27,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,28,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,29,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,30,True
35896,DLI1,U04110009,體外心臟節律貼片,1.0,2021-08-07,31,False
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,32,True
35898,DLI1,U04110009,體外心臟節律貼片,2.0,2021-08-22,33,False
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,34,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,35,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,36,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,37,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,38,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,39,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,40,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,41,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,42,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,43,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,44,True
48484,DLI1,U04110009,體外心臟節律貼片,1.0,2021-11-11,45,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,46,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,47,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,48,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,49,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,50,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,51,True
26472,DLI1,U04110009,體外心臟節律貼片,0.0,2021-06-02,52,True
