,庫房,料號,品名,數量,週,工作日,帳務日期
4791,DLI1,U90480016,中央靜脈導管包布,4.0,1,False,2021-01-09
4794,DLI1,U90480016,中央靜脈導管包布,4.0,2,True,2021-01-15
4799,DLI1,U90480016,中央靜脈導管包布,7.0,3,False,2021-01-24
4806,DLI1,U90480016,中央靜脈導管包布,8.0,4,False,2021-01-30
9131,DLI1,U90480016,中央靜脈導管包布,8.0,5,False,2021-02-06
9137,DLI1,U90480016,中央靜脈導管包布,6.0,6,False,2021-02-13
9140,DLI1,U90480016,中央靜脈導管包布,3.0,7,False,2021-02-16
9144,DLI1,U90480016,中央靜脈導管包布,4.0,8,True,2021-02-25
12616,DLI1,U90480016,中央靜脈導管包布,3.0,9,False,2021-03-06
12620,DLI1,U90480016,中央靜脈導管包布,4.0,10,True,2021-03-09
12624,DLI1,U90480016,中央靜脈導管包布,4.0,11,True,2021-03-19
12626,DLI1,U90480016,中央靜脈導管包布,2.0,12,False,2021-03-28
17257,DLI1,U90480016,中央靜脈導管包布,3.0,13,False,2021-04-03
17258,DLI1,U90480016,中央靜脈導管包布,1.0,14,False,2021-04-10
17263,DLI1,U90480016,中央靜脈導管包布,5.0,15,False,2021-04-18
17266,DLI1,U90480016,中央靜脈導管包布,3.0,16,True,2021-04-22
17270,DLI1,U90480016,中央靜脈導管包布,4.0,17,True,2021-04-29
21806,DLI1,U90480016,中央靜脈導管包布,5.0,18,True,2021-05-08
21809,DLI1,U90480016,中央靜脈導管包布,3.0,19,True,2021-05-14
21811,DLI1,U90480016,中央靜脈導管包布,2.0,20,False,2021-05-23
21817,DLI1,U90480016,中央靜脈導管包布,6.0,21,False,2021-05-29
26475,DLI1,U90480016,中央靜脈導管包布,4.0,22,True,2021-06-04
26477,DLI1,U90480016,中央靜脈導管包布,2.0,23,True,2021-06-11
26481,DLI1,U90480016,中央靜脈導管包布,4.0,24,False,2021-06-19
26484,DLI1,U90480016,中央靜脈導管包布,3.0,25,False,2021-06-26
31102,DLI1,U90480016,中央靜脈導管包布,5.0,26,False,2021-07-04
31104,DLI1,U90480016,中央靜脈導管包布,2.0,27,True,2021-07-09
31108,DLI1,U90480016,中央靜脈導管包布,4.0,28,True,2021-07-16
31114,DLI1,U90480016,中央靜脈導管包布,6.0,29,False,2021-07-25
31117,DLI1,U90480016,中央靜脈導管包布,3.0,30,True,2021-07-30
35900,DLI1,U90480016,中央靜脈導管包布,2.0,31,True,2021-08-06
35907,DLI1,U90480016,中央靜脈導管包布,7.0,32,False,2021-08-14
35910,DLI1,U90480016,中央靜脈導管包布,5.0,33,False,2021-08-22
35913,DLI1,U90480016,中央靜脈導管包布,3.0,34,False,2021-08-28
40372,DLI1,U90480016,中央靜脈導管包布,5.0,35,False,2021-09-04
40376,DLI1,U90480016,中央靜脈導管包布,4.0,36,False,2021-09-12
40378,DLI1,U90480016,中央靜脈導管包布,2.0,37,True,2021-09-18
40381,DLI1,U90480016,中央靜脈導管包布,4.0,38,True,2021-09-24
44326,DLI1,U90480016,中央靜脈導管包布,11.0,39,False,2021-10-01
44330,DLI1,U90480016,中央靜脈導管包布,4.0,40,False,2021-10-10
44336,DLI1,U90480016,中央靜脈導管包布,6.0,41,False,2021-10-17
44341,DLI1,U90480016,中央靜脈導管包布,7.0,42,False,2021-10-24
44344,DLI1,U90480016,中央靜脈導管包布,4.0,43,True,2021-10-27
48492,DLI1,U90480016,中央靜脈導管包布,7.0,44,False,2021-11-07
48496,DLI1,U90480016,中央靜脈導管包布,4.0,45,False,2021-11-14
48498,DLI1,U90480016,中央靜脈導管包布,2.0,46,True,2021-11-16
48501,DLI1,U90480016,中央靜脈導管包布,3.0,47,True,2021-11-25
52405,DLI1,U90480016,中央靜脈導管包布,9.0,48,False,2021-12-04
52410,DLI1,U90480016,中央靜脈導管包布,5.0,49,True,2021-12-10
52416,DLI1,U90480016,中央靜脈導管包布,7.0,50,False,2021-12-19
52424,DLI1,U90480016,中央靜脈導管包布,9.0,51,True,2021-12-24
52425,DLI1,U90480016,中央靜脈導管包布,1.0,52,True,2021-12-28
