,庫房,料號,品名,數量,週,工作日,帳務日期
4877,DLI1,X00100000,婦科沖洗器,2.0,1,False,2021-01-09
4883,DLI1,X00100000,婦科沖洗器,6.0,2,False,2021-01-17
4887,DLI1,X00100000,婦科沖洗器,4.0,3,False,2021-01-24
4892,DLI1,X00100000,婦科沖洗器,5.0,4,False,2021-01-30
9211,DLI1,X00100000,婦科沖洗器,9.0,5,True,2021-02-07
9215,DLI1,X00100000,婦科沖洗器,4.0,6,False,2021-02-11
9221,DLI1,X00100000,婦科沖洗器,6.0,7,True,2021-02-20
9226,DLI1,X00100000,婦科沖洗器,5.0,8,False,2021-02-28
12678,DLI1,X00100000,婦科沖洗器,6.0,9,False,2021-03-07
12685,DLI1,X00100000,婦科沖洗器,7.0,10,True,2021-03-12
12688,DLI1,X00100000,婦科沖洗器,3.0,11,True,2021-03-19
12692,DLI1,X00100000,婦科沖洗器,4.0,12,False,2021-03-27
12697,DLI1,X00100000,婦科沖洗器,12.0,13,True,2021-03-31
4873,DLI1,X00100000,婦科沖洗器,0.0,14,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,15,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,16,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,17,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,18,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,19,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,20,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,21,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,22,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,23,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,24,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,25,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,26,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,27,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,28,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,29,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,30,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,31,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,32,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,33,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,34,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,35,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,36,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,37,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,38,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,39,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,40,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,41,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,42,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,43,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,44,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,45,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,46,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,47,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,48,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,49,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,50,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,51,False,2021-01-01
4873,DLI1,X00100000,婦科沖洗器,0.0,52,False,2021-01-01
