,庫房,料號,品名,數量,帳務日期,週,工作日
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,1,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,2,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,3,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,4,True
9234,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,2.0,2021-02-03,5,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,6,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,7,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,8,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,9,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,10,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,11,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,12,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,13,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,14,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,15,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,16,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,17,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,18,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,19,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,20,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,21,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,22,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,23,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,24,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,25,True
26567,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,1.0,2021-06-29,26,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,27,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,28,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,29,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,30,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,31,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,32,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,33,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,34,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,35,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,36,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,37,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,38,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,39,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,40,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,41,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,42,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,43,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,44,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,45,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,46,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,47,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,48,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,49,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,50,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,51,True
9232,DLI1,Y31060201,迪洛骨髓活體組織切片針-8G,0.0,2021-02-02,52,True
