,庫房,料號,品名,數量,帳務日期,週,工作日
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,1,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,2,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,3,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,4,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,5,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,6,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,7,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,8,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,9,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,10,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,11,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,12,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,13,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,14,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,15,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,16,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,17,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,18,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,19,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,20,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,21,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,22,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,23,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,24,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,25,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,26,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,27,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,28,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,29,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,30,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,31,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,32,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,33,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,34,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,35,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,36,True
40460,DLI1,Y87461244,體外引流袋,1.0,2021-09-18,37,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,38,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,39,True
44421,DLI1,Y87461244,體外引流袋,2.0,2021-10-10,40,False
44422,DLI1,Y87461244,體外引流袋,1.0,2021-10-12,41,True
44423,DLI1,Y87461244,體外引流袋,1.0,2021-10-18,42,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,43,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,44,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,45,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,46,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,47,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,48,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,49,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,50,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,51,True
40460,DLI1,Y87461244,體外引流袋,0.0,2021-09-18,52,True
