,庫房,料號,品名,數量,帳務日期,週,工作日
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,1,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,2.0,2021-01-16,2,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,3,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,4,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,5,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,6,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,7,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,8,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,9,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,10,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,11,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,12,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,13,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,14,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,15,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,16,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,17,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,18,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,19,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,20,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,21,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,22,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,23,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,24,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,25,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,26,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,27,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,28,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,29,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,30,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,31,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,32,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,33,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,34,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,35,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,36,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,37,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,38,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,39,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,40,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,41,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,42,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,43,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,44,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,45,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,46,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,47,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,48,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,49,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,50,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,51,False
0,DLRI,A00120025,2.5-3cc PVC 注射空針,0.0,2021-01-16,52,False
