,庫房,料號,品名,數量,帳務日期,週,工作日
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,1,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,2,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,3,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,4,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,5,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,6,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,7,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,8,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,9,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,10,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,11,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,12,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,13,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,14,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,15,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,16,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,17,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,18,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,19,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,20,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,21,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,22,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,23,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,24,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,25,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,26,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,27,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,28,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,29,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,30,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,31,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,32,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,33,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,34,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,35,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,36,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,37,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,38,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,39,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,40,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,41,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,42,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,43,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,44,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,45,True
12890,DLRI,A00120308,塑膠注射器 30cc有螺,1.0,2021-11-19,46,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,47,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,48,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,49,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,50,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,51,True
12889,DLRI,A00120308,塑膠注射器 30cc有螺,0.0,2021-11-19,52,True
