,庫房,料號,品名,數量,週,工作日,帳務日期
712,DLRI,B03106859,人工薄膜,4.0,1,True,2021-01-07
714,DLRI,B03106859,人工薄膜,2.0,2,False,2021-01-16
715,DLRI,B03106859,人工薄膜,2.0,3,True,2021-01-18
719,DLRI,B03106859,人工薄膜,4.0,4,False,2021-01-31
1653,DLRI,B03106859,人工薄膜,5.0,5,True,2021-02-07
1658,DLRI,B03106859,人工薄膜,6.0,6,False,2021-02-12
1661,DLRI,B03106859,人工薄膜,6.0,7,False,2021-02-21
1665,DLRI,B03106859,人工薄膜,4.0,8,True,2021-02-26
2732,DLRI,B03106859,人工薄膜,5.0,9,False,2021-03-07
2738,DLRI,B03106859,人工薄膜,7.0,10,False,2021-03-14
2740,DLRI,B03106859,人工薄膜,2.0,11,True,2021-03-19
2748,DLRI,B03106859,人工薄膜,8.0,12,False,2021-03-28
4160,DLRI,B03106859,人工薄膜,13.0,13,False,2021-04-04
4166,DLRI,B03106859,人工薄膜,7.0,14,False,2021-04-11
4178,DLRI,B03106859,人工薄膜,13.0,15,False,2021-04-18
4188,DLRI,B03106859,人工薄膜,13.0,16,True,2021-04-25
5625,DLRI,B03106859,人工薄膜,10.0,17,False,2021-05-02
5635,DLRI,B03106859,人工薄膜,12.0,18,False,2021-05-09
5644,DLRI,B03106859,人工薄膜,10.0,19,False,2021-05-16
5657,DLRI,B03106859,人工薄膜,17.0,20,False,2021-05-23
5663,DLRI,B03106859,人工薄膜,6.0,21,True,2021-05-28
6838,DLRI,B03106859,人工薄膜,16.0,22,False,2021-06-06
6849,DLRI,B03106859,人工薄膜,13.0,23,False,2021-06-13
6861,DLRI,B03106859,人工薄膜,15.0,24,False,2021-06-20
6871,DLRI,B03106859,人工薄膜,16.0,25,False,2021-06-27
8205,DLRI,B03106859,人工薄膜,8.0,26,False,2021-07-04
8211,DLRI,B03106859,人工薄膜,10.0,27,False,2021-07-11
8222,DLRI,B03106859,人工薄膜,15.0,28,False,2021-07-18
8235,DLRI,B03106859,人工薄膜,21.0,29,False,2021-07-25
9540,DLRI,B03106859,人工薄膜,23.0,30,False,2021-08-01
9553,DLRI,B03106859,人工薄膜,17.0,31,True,2021-08-06
9557,DLRI,B03106859,人工薄膜,4.0,32,False,2021-08-15
9562,DLRI,B03106859,人工薄膜,5.0,33,False,2021-08-22
9570,DLRI,B03106859,人工薄膜,9.0,34,False,2021-08-29
10821,DLRI,B03106859,人工薄膜,22.0,35,False,2021-09-05
10829,DLRI,B03106859,人工薄膜,9.0,36,False,2021-09-12
10833,DLRI,B03106859,人工薄膜,5.0,37,True,2021-09-14
10838,DLRI,B03106859,人工薄膜,5.0,38,True,2021-09-26
12153,DLRI,B03106859,人工薄膜,15.0,39,False,2021-10-03
12159,DLRI,B03106859,人工薄膜,10.0,40,True,2021-10-08
12166,DLRI,B03106859,人工薄膜,11.0,41,False,2021-10-17
12168,DLRI,B03106859,人工薄膜,3.0,42,True,2021-10-19
12172,DLRI,B03106859,人工薄膜,5.0,43,False,2021-10-31
13749,DLRI,B03106859,人工薄膜,4.0,44,True,2021-11-04
13759,DLRI,B03106859,人工薄膜,12.0,45,False,2021-11-14
13769,DLRI,B03106859,人工薄膜,15.0,46,False,2021-11-20
13783,DLRI,B03106859,人工薄膜,15.0,47,False,2021-11-28
15174,DLRI,B03106859,人工薄膜,17.0,48,False,2021-12-05
15179,DLRI,B03106859,人工薄膜,6.0,49,False,2021-12-12
15187,DLRI,B03106859,人工薄膜,11.0,50,False,2021-12-18
15192,DLRI,B03106859,人工薄膜,8.0,51,False,2021-12-25
15193,DLRI,B03106859,人工薄膜,1.0,52,True,2021-12-27
