,庫房,料號,品名,數量,帳務日期,週,工作日
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,1,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,2,True
720,DLRI,B03110120,人工薄膜,1.0,2021-01-19,3,True
724,DLRI,B03110120,人工薄膜,5.0,2021-01-31,4,False
1669,DLRI,B03110120,人工薄膜,4.0,2021-02-07,5,True
1671,DLRI,B03110120,人工薄膜,2.0,2021-02-13,6,False
1672,DLRI,B03110120,人工薄膜,1.0,2021-02-16,7,False
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,8,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,9,True
2753,DLRI,B03110120,人工薄膜,2.0,2021-03-11,10,True
2756,DLRI,B03110120,人工薄膜,3.0,2021-03-21,11,False
2760,DLRI,B03110120,人工薄膜,4.0,2021-03-27,12,False
2761,DLRI,B03110120,人工薄膜,1.0,2021-03-30,13,True
4198,DLRI,B03110120,人工薄膜,3.0,2021-04-09,14,True
4200,DLRI,B03110120,人工薄膜,2.0,2021-04-18,15,False
4202,DLRI,B03110120,人工薄膜,3.0,2021-04-23,16,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,17,True
5667,DLRI,B03110120,人工薄膜,3.0,2021-05-07,18,True
5669,DLRI,B03110120,人工薄膜,3.0,2021-05-14,19,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,20,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,21,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,22,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,23,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,24,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,25,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,26,True
8251,DLRI,B03110120,人工薄膜,2.0,2021-07-09,27,True
8258,DLRI,B03110120,人工薄膜,9.0,2021-07-18,28,False
8264,DLRI,B03110120,人工薄膜,8.0,2021-07-23,29,True
8267,DLRI,B03110120,人工薄膜,3.0,2021-07-29,30,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,31,True
9576,DLRI,B03110120,人工薄膜,5.0,2021-08-15,32,False
9579,DLRI,B03110120,人工薄膜,3.0,2021-08-20,33,True
9582,DLRI,B03110120,人工薄膜,9.0,2021-08-27,34,True
10845,DLRI,B03110120,人工薄膜,15.0,2021-09-03,35,True
10846,DLRI,B03110120,人工薄膜,1.0,2021-09-07,36,True
10847,DLRI,B03110120,人工薄膜,1.0,2021-09-17,37,True
10848,DLRI,B03110120,人工薄膜,1.0,2021-09-20,38,False
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,39,True
12173,DLRI,B03110120,人工薄膜,1.0,2021-10-06,40,False
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,41,True
12174,DLRI,B03110120,人工薄膜,1.0,2021-10-22,42,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,43,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,44,True
13790,DLRI,B03110120,人工薄膜,1.0,2021-11-08,45,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,46,True
13793,DLRI,B03110120,人工薄膜,3.0,2021-11-28,47,False
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,48,True
15194,DLRI,B03110120,人工薄膜,1.0,2021-12-09,49,True
720,DLRI,B03110120,人工薄膜,0.0,2021-01-19,50,True
15196,DLRI,B03110120,人工薄膜,2.0,2021-12-25,51,False
15197,DLRI,B03110120,人工薄膜,1.0,2021-12-28,52,True
