,庫房,料號,品名,數量,帳務日期,週,工作日
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,1,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-01-13,2,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,3,True
753,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-01-27,4,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,5,True
1691,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,3.0,2021-02-13,6,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,7,True
1693,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-02-27,8,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,9,True
2798,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,4.0,2021-03-13,10,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,11,True
2801,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,3.0,2021-03-26,12,True
4228,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-04-03,13,False
4230,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-04-09,14,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,15,True
4232,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-04-23,16,True
5688,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-05-01,17,False
5689,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-05-05,18,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,19,True
5690,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-05-19,20,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,21,True
6888,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-06-05,22,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,23,True
6890,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-06-19,24,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,25,True
8295,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-07-03,26,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,27,True
8297,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-07-17,28,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,29,True
8299,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-07-31,30,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,31,True
9596,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-08-14,32,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,33,True
9597,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-08-28,34,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,35,True
10865,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,3.0,2021-09-11,36,False
10866,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-09-14,37,True
10867,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-09-25,38,False
10868,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-09-28,39,True
12210,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-10-09,40,True
12212,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-10-16,41,False
12213,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-10-23,42,False
12214,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-10-30,43,False
13823,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,2.0,2021-11-06,44,False
13824,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-11-10,45,True
13825,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-11-20,46,False
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,47,True
15217,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-12-03,48,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,49,True
15218,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,1.0,2021-12-17,50,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,51,True
752,DLRI,C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2021-01-13,52,True
