,庫房,料號,品名,數量,帳務日期,週,工作日
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,1,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,2,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,3,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,4,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,5,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,6,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,7,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,8,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,9,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,10,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,11,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,12,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,13,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,14,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,15,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,16,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,17,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,18,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,19,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,20,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,21,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,22,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,23,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,24,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,25,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,26,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,27,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,28,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2021-07-20,29,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,30,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,31,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,32,True
9599,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2021-08-16,33,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,34,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,35,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,36,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,37,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,38,True
10872,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2021-09-27,39,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,40,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,41,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,42,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,43,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,44,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,45,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,46,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,47,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,48,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,49,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,50,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,51,True
8307,DLRI,C02513167,鼻胃管16Fr  可顯影125cm,0.0,2021-07-20,52,True
