,庫房,料號,品名,數量,週,工作日,帳務日期
777,DLRI,C09113003,加長型氣切套管,3.0,1,True,2021-01-05
775,DLRI,C09113003,加長型氣切套管,0.0,2,True,2021-01-04
778,DLRI,C09113003,加長型氣切套管,1.0,3,True,2021-01-21
779,DLRI,C09113003,加長型氣切套管,1.0,4,True,2021-01-29
775,DLRI,C09113003,加長型氣切套管,0.0,5,True,2021-01-04
1714,DLRI,C09113003,加長型氣切套管,2.0,6,True,2021-02-09
775,DLRI,C09113003,加長型氣切套管,0.0,7,True,2021-01-04
1715,DLRI,C09113003,加長型氣切套管,1.0,8,True,2021-02-23
2827,DLRI,C09113003,加長型氣切套管,1.0,9,True,2021-03-02
2829,DLRI,C09113003,加長型氣切套管,2.0,10,True,2021-03-09
775,DLRI,C09113003,加長型氣切套管,0.0,11,True,2021-01-04
2830,DLRI,C09113003,加長型氣切套管,1.0,12,True,2021-03-23
4256,DLRI,C09113003,加長型氣切套管,1.0,13,True,2021-04-02
4257,DLRI,C09113003,加長型氣切套管,1.0,14,True,2021-04-06
4258,DLRI,C09113003,加長型氣切套管,1.0,15,True,2021-04-15
775,DLRI,C09113003,加長型氣切套管,0.0,16,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,17,True,2021-01-04
5719,DLRI,C09113003,加長型氣切套管,1.0,18,False,2021-05-04
775,DLRI,C09113003,加長型氣切套管,0.0,19,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,20,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,21,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,22,True,2021-01-04
6915,DLRI,C09113003,加長型氣切套管,2.0,23,True,2021-06-08
775,DLRI,C09113003,加長型氣切套管,0.0,24,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,25,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,26,True,2021-01-04
8325,DLRI,C09113003,加長型氣切套管,1.0,27,True,2021-07-09
775,DLRI,C09113003,加長型氣切套管,0.0,28,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,29,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,30,True,2021-01-04
9617,DLRI,C09113003,加長型氣切套管,1.0,31,True,2021-08-05
9618,DLRI,C09113003,加長型氣切套管,1.0,32,True,2021-08-09
775,DLRI,C09113003,加長型氣切套管,0.0,33,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,34,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,35,True,2021-01-04
10897,DLRI,C09113003,加長型氣切套管,2.0,36,True,2021-09-09
775,DLRI,C09113003,加長型氣切套管,0.0,37,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,38,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,39,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,40,True,2021-01-04
12238,DLRI,C09113003,加長型氣切套管,1.0,41,True,2021-10-12
775,DLRI,C09113003,加長型氣切套管,0.0,42,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,43,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,44,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,45,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,46,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,47,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,48,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,49,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,50,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,51,True,2021-01-04
775,DLRI,C09113003,加長型氣切套管,0.0,52,True,2021-01-04
