,庫房,料號,品名,數量,帳務日期,週,工作日
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,1,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,2,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,3,True
810,DLRI,F01700003,真空吸引瓶,3.0,2021-01-28,4,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,5,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,6,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,7,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,8,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,9,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,10,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,11,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,12,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,13,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,14,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,15,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,16,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,17,True
5770,DLRI,F01700003,真空吸引瓶,2.0,2021-05-05,18,False
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,19,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,20,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,21,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,22,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,23,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,24,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,25,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,26,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,27,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,28,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,29,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,30,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,31,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,32,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,33,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,34,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,35,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,36,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,37,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,38,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,39,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,40,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,41,True
12281,DLRI,F01700003,真空吸引瓶,3.0,2021-10-22,42,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,43,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,44,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,45,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,46,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,47,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,48,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,49,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,50,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,51,True
810,DLRI,F01700003,真空吸引瓶,0.0,2021-01-28,52,True
