,庫房,料號,品名,數量,帳務日期,週,工作日
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,1,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,2,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,3,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,4,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,5,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,6,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,7,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,8,True
3005,DLRI,I20100104,心電圖電極貼片,15.0,2021-03-05,9,True
3006,DLRI,I20100104,心電圖電極貼片,3.0,2021-03-09,10,True
3009,DLRI,I20100104,心電圖電極貼片,9.0,2021-03-19,11,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,12,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,13,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,14,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,15,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,16,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,17,True
5913,DLRI,I20100104,心電圖電極貼片,6.0,2021-05-08,18,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,19,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,20,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,21,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,22,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,23,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,24,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,25,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,26,True
8580,DLRI,I20100104,心電圖電極貼片,6.0,2021-07-08,27,True
8581,DLRI,I20100104,心電圖電極貼片,3.0,2021-07-17,28,False
8583,DLRI,I20100104,心電圖電極貼片,6.0,2021-07-24,29,False
8585,DLRI,I20100104,心電圖電極貼片,6.0,2021-07-27,30,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,31,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,32,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,33,True
9840,DLRI,I20100104,心電圖電極貼片,6.0,2021-08-27,34,True
11182,DLRI,I20100104,心電圖電極貼片,3.0,2021-09-02,35,True
11188,DLRI,I20100104,心電圖電極貼片,12.0,2021-09-06,36,True
11193,DLRI,I20100104,心電圖電極貼片,15.0,2021-09-18,37,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,38,True
11195,DLRI,I20100104,心電圖電極貼片,6.0,2021-09-29,39,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,40,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,41,True
12487,DLRI,I20100104,心電圖電極貼片,6.0,2021-10-21,42,True
12490,DLRI,I20100104,心電圖電極貼片,9.0,2021-10-30,43,False
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,44,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,45,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,46,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,47,True
15490,DLRI,I20100104,心電圖電極貼片,3.0,2021-12-04,48,False
15491,DLRI,I20100104,心電圖電極貼片,3.0,2021-12-10,49,True
15492,DLRI,I20100104,心電圖電極貼片,3.0,2021-12-16,50,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,51,True
3001,DLRI,I20100104,心電圖電極貼片,0.0,2021-03-01,52,True
