,庫房,料號,品名,數量,週,工作日,帳務日期
968,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,1,False,2021-01-10
980,DLRI,J00202019,勤達豪華型尿袋 (滅菌),12.0,2,True,2021-01-15
989,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,3,False,2021-01-23
999,DLRI,J00202019,勤達豪華型尿袋 (滅菌),11.0,4,False,2021-01-30
1859,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,5,True,2021-02-07
1867,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,6,False,2021-02-13
1876,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,7,False,2021-02-21
1884,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,8,False,2021-02-27
3017,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,9,False,2021-03-07
3031,DLRI,J00202019,勤達豪華型尿袋 (滅菌),13.0,10,False,2021-03-14
3038,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,11,False,2021-03-20
3051,DLRI,J00202019,勤達豪華型尿袋 (滅菌),15.0,12,True,2021-03-26
4572,DLRI,J00202019,勤達豪華型尿袋 (滅菌),12.0,13,False,2021-04-03
4582,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,14,False,2021-04-11
4590,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,15,False,2021-04-18
4596,DLRI,J00202019,勤達豪華型尿袋 (滅菌),6.0,16,True,2021-04-25
5916,DLRI,J00202019,勤達豪華型尿袋 (滅菌),13.0,17,False,2021-05-02
5923,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,18,False,2021-05-09
5932,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,19,False,2021-05-16
5939,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,20,False,2021-05-22
5948,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,21,False,2021-05-30
7065,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,22,False,2021-06-05
7073,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,23,False,2021-06-12
7081,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,24,False,2021-06-20
7088,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,25,False,2021-06-27
8592,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,26,False,2021-07-04
8600,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,27,False,2021-07-11
8607,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,28,False,2021-07-17
8616,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,29,False,2021-07-25
9841,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,30,False,2021-08-01
9848,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,31,False,2021-08-08
9855,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,32,False,2021-08-14
9863,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,33,False,2021-08-22
9870,DLRI,J00202019,勤達豪華型尿袋 (滅菌),8.0,34,False,2021-08-28
11203,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,35,False,2021-09-05
11208,DLRI,J00202019,勤達豪華型尿袋 (滅菌),5.0,36,False,2021-09-11
11215,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,37,False,2021-09-19
11224,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,38,True,2021-09-26
12492,DLRI,J00202019,勤達豪華型尿袋 (滅菌),7.0,39,False,2021-10-03
12501,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,40,True,2021-10-09
12510,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,41,False,2021-10-17
12519,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,42,False,2021-10-24
12528,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,43,False,2021-10-30
14162,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,44,False,2021-11-06
14172,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,45,False,2021-11-14
14181,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,46,False,2021-11-21
14191,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,47,True,2021-11-26
15500,DLRI,J00202019,勤達豪華型尿袋 (滅菌),11.0,48,False,2021-12-05
15510,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,49,False,2021-12-12
15520,DLRI,J00202019,勤達豪華型尿袋 (滅菌),9.0,50,False,2021-12-19
15530,DLRI,J00202019,勤達豪華型尿袋 (滅菌),10.0,51,False,2021-12-26
15533,DLRI,J00202019,勤達豪華型尿袋 (滅菌),3.0,52,True,2021-12-29
