,庫房,料號,品名,數量,帳務日期,週,工作日
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,1,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,2,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,3,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,4,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,5,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,6,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,7,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,8,True
3105,DLRI,T01910532,丟棄式人工甦醒球,12.0,2021-03-01,9,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,10,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,11,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,12,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,13,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,14,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,15,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,16,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,17,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,18,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,19,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,20,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,21,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,22,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,23,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,24,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,25,True
7172,DLRI,T01910532,丟棄式人工甦醒球,13.0,2021-06-30,26,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,27,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,28,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,29,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,30,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,31,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,32,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,33,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,34,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,35,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,36,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,37,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,38,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,39,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,40,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,41,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,42,True
12587,DLRI,T01910532,丟棄式人工甦醒球,8.0,2021-10-29,43,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,44,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,45,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,46,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,47,True
14246,DLRI,T01910532,丟棄式人工甦醒球,1.0,2021-11-30,48,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,49,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,50,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,51,True
3094,DLRI,T01910532,丟棄式人工甦醒球,0.0,2021-03-01,52,True
