,庫房,料號,品名,數量,帳務日期,週,工作日
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,1,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,2,False
1056,DLRI,U90480016,中央靜脈導管包布,1.0,2021-01-18,3,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,4,False
1922,DLRI,U90480016,中央靜脈導管包布,1.0,2021-02-02,5,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,6,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,7,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,8,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,9,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,10,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,11,False
3109,DLRI,U90480016,中央靜脈導管包布,1.0,2021-03-22,12,True
3110,DLRI,U90480016,中央靜脈導管包布,1.0,2021-03-29,13,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,14,False
4672,DLRI,U90480016,中央靜脈導管包布,2.0,2021-04-16,15,True
4673,DLRI,U90480016,中央靜脈導管包布,1.0,2021-04-23,16,True
4674,DLRI,U90480016,中央靜脈導管包布,1.0,2021-04-30,17,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,18,False
6008,DLRI,U90480016,中央靜脈導管包布,4.0,2021-05-14,19,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,20,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,21,False
7177,DLRI,U90480016,中央靜脈導管包布,2.0,2021-06-02,22,True
7179,DLRI,U90480016,中央靜脈導管包布,2.0,2021-06-10,23,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,24,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,25,False
8689,DLRI,U90480016,中央靜脈導管包布,1.0,2021-07-01,26,True
8691,DLRI,U90480016,中央靜脈導管包布,2.0,2021-07-07,27,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,28,False
8692,DLRI,U90480016,中央靜脈導管包布,1.0,2021-07-19,29,True
8693,DLRI,U90480016,中央靜脈導管包布,1.0,2021-07-27,30,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,31,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,32,False
9914,DLRI,U90480016,中央靜脈導管包布,1.0,2021-08-16,33,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,34,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,35,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,36,False
11299,DLRI,U90480016,中央靜脈導管包布,1.0,2021-09-15,37,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,38,False
12600,DLRI,U90480016,中央靜脈導管包布,1.0,2021-10-02,39,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,40,False
12601,DLRI,U90480016,中央靜脈導管包布,1.0,2021-10-14,41,True
12602,DLRI,U90480016,中央靜脈導管包布,1.0,2021-10-18,42,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,43,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,44,False
14257,DLRI,U90480016,中央靜脈導管包布,1.0,2021-11-10,45,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,46,False
14258,DLRI,U90480016,中央靜脈導管包布,1.0,2021-11-22,47,True
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,48,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,49,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,50,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,51,False
1054,DLRI,U90480016,中央靜脈導管包布,0.0,2021-01-02,52,False
