,庫房,料號,品名,數量,週,工作日,帳務日期
1063,DLRI,U91700000,丟棄式導尿包,3.0,1,True,2021-01-07
1069,DLRI,U91700000,丟棄式導尿包,6.0,2,False,2021-01-17
1073,DLRI,U91700000,丟棄式導尿包,4.0,3,True,2021-01-22
1080,DLRI,U91700000,丟棄式導尿包,7.0,4,False,2021-01-30
1925,DLRI,U91700000,丟棄式導尿包,3.0,5,True,2021-02-05
1932,DLRI,U91700000,丟棄式導尿包,7.0,6,False,2021-02-13
1934,DLRI,U91700000,丟棄式導尿包,2.0,7,True,2021-02-19
1939,DLRI,U91700000,丟棄式導尿包,5.0,8,False,2021-02-27
3113,DLRI,U91700000,丟棄式導尿包,3.0,9,True,2021-03-05
3123,DLRI,U91700000,丟棄式導尿包,9.0,10,False,2021-03-13
3127,DLRI,U91700000,丟棄式導尿包,4.0,11,True,2021-03-19
3135,DLRI,U91700000,丟棄式導尿包,8.0,12,True,2021-03-26
4678,DLRI,U91700000,丟棄式導尿包,6.0,13,False,2021-04-03
4682,DLRI,U91700000,丟棄式導尿包,4.0,14,False,2021-04-10
4685,DLRI,U91700000,丟棄式導尿包,3.0,15,False,2021-04-17
4688,DLRI,U91700000,丟棄式導尿包,3.0,16,True,2021-04-23
6012,DLRI,U91700000,丟棄式導尿包,8.0,17,False,2021-05-02
6017,DLRI,U91700000,丟棄式導尿包,7.0,18,False,2021-05-09
6022,DLRI,U91700000,丟棄式導尿包,6.0,19,False,2021-05-16
6026,DLRI,U91700000,丟棄式導尿包,4.0,20,False,2021-05-22
6029,DLRI,U91700000,丟棄式導尿包,3.0,21,True,2021-05-26
7183,DLRI,U91700000,丟棄式導尿包,4.0,22,False,2021-06-05
7185,DLRI,U91700000,丟棄式導尿包,2.0,23,True,2021-06-10
7187,DLRI,U91700000,丟棄式導尿包,2.0,24,False,2021-06-19
7189,DLRI,U91700000,丟棄式導尿包,2.0,25,False,2021-06-26
8696,DLRI,U91700000,丟棄式導尿包,3.0,26,False,2021-07-03
8700,DLRI,U91700000,丟棄式導尿包,4.0,27,True,2021-07-09
8705,DLRI,U91700000,丟棄式導尿包,5.0,28,False,2021-07-17
8706,DLRI,U91700000,丟棄式導尿包,1.0,29,False,2021-07-25
8713,DLRI,U91700000,丟棄式導尿包,7.0,30,False,2021-07-31
9915,DLRI,U91700000,丟棄式導尿包,1.0,31,True,2021-08-04
9918,DLRI,U91700000,丟棄式導尿包,3.0,32,False,2021-08-14
9920,DLRI,U91700000,丟棄式導尿包,2.0,33,True,2021-08-18
9925,DLRI,U91700000,丟棄式導尿包,5.0,34,False,2021-08-28
11300,DLRI,U91700000,丟棄式導尿包,1.0,35,True,2021-09-01
11304,DLRI,U91700000,丟棄式導尿包,5.0,36,False,2021-09-11
11306,DLRI,U91700000,丟棄式導尿包,2.0,37,True,2021-09-15
11311,DLRI,U91700000,丟棄式導尿包,5.0,38,True,2021-09-26
11314,DLRI,U91700000,丟棄式導尿包,3.0,39,True,2021-09-29
12606,DLRI,U91700000,丟棄式導尿包,4.0,40,True,2021-10-09
12612,DLRI,U91700000,丟棄式導尿包,6.0,41,False,2021-10-16
12617,DLRI,U91700000,丟棄式導尿包,5.0,42,False,2021-10-23
12624,DLRI,U91700000,丟棄式導尿包,7.0,43,False,2021-10-30
14262,DLRI,U91700000,丟棄式導尿包,4.0,44,False,2021-11-06
14265,DLRI,U91700000,丟棄式導尿包,3.0,45,True,2021-11-10
14270,DLRI,U91700000,丟棄式導尿包,5.0,46,False,2021-11-20
14278,DLRI,U91700000,丟棄式導尿包,8.0,47,True,2021-11-26
15581,DLRI,U91700000,丟棄式導尿包,3.0,48,True,2021-12-03
15584,DLRI,U91700000,丟棄式導尿包,3.0,49,False,2021-12-12
15590,DLRI,U91700000,丟棄式導尿包,5.0,50,False,2021-12-19
15596,DLRI,U91700000,丟棄式導尿包,6.0,51,False,2021-12-26
15598,DLRI,U91700000,丟棄式導尿包,2.0,52,True,2021-12-29
