,庫房,料號,品名,數量,週,工作日,帳務日期
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,1,True,2021-01-07
1084,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,2,True,2021-01-14
1085,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,3,True,2021-01-21
1086,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,4,True,2021-01-25
1943,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,5,True,2021-02-04
1945,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,6,True,2021-02-08
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,7,True,2021-01-07
1947,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,8,True,2021-02-25
3139,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,9,True,2021-03-05
3141,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,10,True,2021-03-09
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,11,True,2021-01-07
3143,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,12,True,2021-03-23
3144,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,13,True,2021-03-30
4695,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,14,True,2021-04-08
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,15,True,2021-01-07
4696,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,16,True,2021-04-22
4697,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,17,True,2021-04-26
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,18,True,2021-01-07
6031,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,19,True,2021-05-10
6032,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,20,True,2021-05-17
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,21,True,2021-01-07
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,22,True,2021-01-07
7195,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),6.0,23,True,2021-06-10
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,24,True,2021-01-07
7196,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,25,True,2021-06-24
7199,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,26,True,2021-06-28
8716,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,27,True,2021-07-07
8717,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,28,True,2021-07-16
8719,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,29,True,2021-07-19
8722,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,30,True,2021-07-28
9926,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,31,True,2021-08-02
9931,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),5.0,32,True,2021-08-12
9935,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,33,True,2021-08-19
9936,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,34,True,2021-08-26
9937,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,35,True,2021-08-30
11317,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,36,True,2021-09-09
11319,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,37,True,2021-09-13
11322,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,38,False,2021-09-20
11324,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,39,True,2021-09-30
1081,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),0.0,40,True,2021-01-07
12628,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,41,True,2021-10-13
12632,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,42,True,2021-10-20
12634,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,43,True,2021-10-27
14280,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,44,True,2021-11-01
14282,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,45,True,2021-11-12
14285,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,46,True,2021-11-18
14289,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,47,True,2021-11-22
15602,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),6.0,48,True,2021-12-01
15604,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),2.0,49,True,2021-12-06
15608,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),4.0,50,True,2021-12-15
15611,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),3.0,51,True,2021-12-22
15612,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,52,True,2021-12-29
