,庫房,料號,品名,數量,帳務日期,週,工作日
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,1,False
1087,DLRI,V02204118,手術刀片,1.0,2021-01-17,2,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,3,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,4,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,5,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,6,False
1948,DLRI,V02204118,手術刀片,1.0,2021-02-19,7,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,8,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,9,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,10,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,11,False
3145,DLRI,V02204118,手術刀片,1.0,2021-03-23,12,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,13,False
4698,DLRI,V02204118,手術刀片,1.0,2021-04-09,14,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,15,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,16,False
4700,DLRI,V02204118,手術刀片,2.0,2021-04-30,17,True
6033,DLRI,V02204118,手術刀片,1.0,2021-05-06,18,True
6034,DLRI,V02204118,手術刀片,1.0,2021-05-12,19,True
6036,DLRI,V02204118,手術刀片,2.0,2021-05-21,20,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,21,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,22,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,23,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,24,False
7200,DLRI,V02204118,手術刀片,1.0,2021-06-21,25,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,26,False
8723,DLRI,V02204118,手術刀片,1.0,2021-07-08,27,True
8724,DLRI,V02204118,手術刀片,2.0,2021-07-12,28,True
8726,DLRI,V02204118,手術刀片,2.0,2021-07-23,29,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,30,False
9938,DLRI,V02204118,手術刀片,1.0,2021-08-05,31,True
9940,DLRI,V02204118,手術刀片,2.0,2021-08-10,32,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,33,False
9941,DLRI,V02204118,手術刀片,1.0,2021-08-27,34,True
11326,DLRI,V02204118,手術刀片,3.0,2021-09-03,35,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,36,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,37,False
11327,DLRI,V02204118,手術刀片,1.0,2021-09-24,38,True
11328,DLRI,V02204118,手術刀片,1.0,2021-09-27,39,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,40,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,41,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,42,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,43,False
14292,DLRI,V02204118,手術刀片,4.0,2021-11-07,44,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,45,False
14294,DLRI,V02204118,手術刀片,2.0,2021-11-19,46,True
14296,DLRI,V02204118,手術刀片,2.0,2021-11-25,47,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,48,False
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,49,False
15613,DLRI,V02204118,手術刀片,1.0,2021-12-13,50,True
1087,DLRI,V02204118,手術刀片,0.0,2021-01-17,51,False
15614,DLRI,V02204118,手術刀片,1.0,2021-12-29,52,True
