,庫房,料號,品名,數量,帳務日期,週,工作日
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,1,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,2,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,3,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,4,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,5,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,6,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,7,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,8,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,9,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,10,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,11,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,12,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,13,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,14,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,15,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,16,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,17,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,18,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,19,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,20,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,21,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,22,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,23,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,24,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,25,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,26,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,27,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,28,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,29,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,30,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,31,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,32,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,33,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,34,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,35,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,36,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,37,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,38,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,39,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,40,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,41,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,42,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,43,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,44,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,45,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021-11-17,46,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,47,True
15615,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021-12-04,48,False
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,49,True
15616,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021-12-16,50,True
15617,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021-12-20,51,True
14297,DLRI,Y12876111,康威 多愛膚親水性敷料(人工皮),0.0,2021-11-17,52,True
