,庫房,料號,品名,數量,週,工作日,帳務日期
10237,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),207.0,1,False,2022-01-09
10316,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),249.0,2,False,2022-01-16
10381,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),194.0,3,False,2022-01-23
10446,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),233.0,4,True,2022-01-30
10505,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),248.0,5,False,2022-02-06
10566,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),232.0,6,False,2022-02-13
10618,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),237.0,7,False,2022-02-20
10677,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),197.0,8,False,2022-02-27
10747,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),218.0,9,False,2022-03-06
10797,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),187.0,10,False,2022-03-13
10861,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),251.0,11,False,2022-03-20
10914,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),162.0,12,False,2022-03-27
10944,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),79.0,13,False,2022-04-03
10987,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),145.0,14,False,2022-04-10
11051,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),225.0,15,False,2022-04-17
11124,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),281.0,16,True,2022-04-24
11199,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),256.0,17,False,2022-05-01
11276,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),301.0,18,False,2022-05-08
11348,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),230.0,19,False,2022-05-15
11409,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),192.0,20,False,2022-05-22
11488,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),285.0,21,False,2022-05-29
11567,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),274.0,22,False,2022-06-05
11635,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),282.0,23,False,2022-06-12
11692,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),222.0,24,False,2022-06-19
11747,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),191.0,25,False,2022-06-26
11811,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),252.0,26,False,2022-07-03
11871,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),328.0,27,False,2022-07-10
11930,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),334.0,28,False,2022-07-17
12003,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),337.0,29,False,2022-07-24
12063,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),273.0,30,False,2022-07-31
12123,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),236.0,31,False,2022-08-07
12169,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),145.0,32,False,2022-08-14
12218,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),183.0,33,False,2022-08-21
12270,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),147.0,34,False,2022-08-28
12338,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),216.0,35,False,2022-09-04
12410,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),269.0,36,False,2022-09-11
12482,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),279.0,37,False,2022-09-18
12549,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),246.0,38,False,2022-09-25
12607,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),193.0,39,False,2022-10-02
12673,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),218.0,40,True,2022-10-09
12735,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),219.0,41,False,2022-10-16
12794,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),222.0,42,False,2022-10-23
12857,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),230.0,43,False,2022-10-30
12919,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),231.0,44,False,2022-11-06
12990,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),274.0,45,False,2022-11-13
13066,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),302.0,46,False,2022-11-20
13132,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),260.0,47,False,2022-11-27
13203,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),234.0,48,False,2022-12-04
13284,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),314.0,49,False,2022-12-11
13346,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),273.0,50,False,2022-12-18
13423,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),272.0,51,False,2022-12-25
13476,DLI1,A00120213,20CC塑膠注射空針直插  (無螺紋),265.0,52,False,2022-12-31
