,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,1
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,2
19004,DLI1,A02320160,靜脈留置針-16G,1.0,2022-01-19,,,True,3
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,4
19005,DLI1,A02320160,靜脈留置針-16G,2.0,2022-02-02,,,False,5
19006,DLI1,A02320160,靜脈留置針-16G,4.0,2022-02-12,,,False,6
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,7
19007,DLI1,A02320160,靜脈留置針-16G,4.0,2022-02-21,,,True,8
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,9
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,10
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,11
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,12
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,13
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,14
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,15
19008,DLI1,A02320160,靜脈留置針-16G,1.0,2022-04-18,,,True,16
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,17
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,18
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,19
19009,DLI1,A02320160,靜脈留置針-16G,1.0,2022-05-19,,,True,20
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,21
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,22
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,23
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,24
19010,DLI1,A02320160,靜脈留置針-16G,2.0,2022-06-20,,,True,25
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,26
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,27
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,28
19011,DLI1,A02320160,靜脈留置針-16G,1.0,2022-07-18,,,True,29
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,30
19012,DLI1,A02320160,靜脈留置針-16G,1.0,2022-08-02,,,True,31
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,32
19014,DLI1,A02320160,靜脈留置針-16G,3.0,2022-08-18,,,True,33
19015,DLI1,A02320160,靜脈留置針-16G,3.0,2022-08-27,,,False,34
19016,DLI1,A02320160,靜脈留置針-16G,1.0,2022-09-02,,,True,35
19017,DLI1,A02320160,靜脈留置針-16G,4.0,2022-09-05,,,True,36
19019,DLI1,A02320160,靜脈留置針-16G,2.0,2022-09-15,,,True,37
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,38
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,39
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,40
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,41
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,42
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,43
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,44
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,45
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,46
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,47
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,48
19020,DLI1,A02320160,靜脈留置針-16G,1.0,2022-12-06,,,True,49
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,50
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,51
19004,DLI1,A02320160,靜脈留置針-16G,0.0,2022-01-19,202201.0,C-計價,True,52
