,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
19021,DLI1,A02320186,靜脈留置針-18G,1.0,1,True,2022-01-07,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,2,True,2022-01-07,202201.0,C-計價
19023,DLI1,A02320186,靜脈留置針-18G,2.0,3,True,2022-01-21,,
19024,DLI1,A02320186,靜脈留置針-18G,1.0,4,True,2022-01-25,,
19027,DLI1,A02320186,靜脈留置針-18G,3.0,5,False,2022-02-05,,
19029,DLI1,A02320186,靜脈留置針-18G,2.0,6,False,2022-02-13,,
19030,DLI1,A02320186,靜脈留置針-18G,2.0,7,True,2022-02-14,,
19031,DLI1,A02320186,靜脈留置針-18G,4.0,8,True,2022-02-21,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,9,True,2022-01-07,202201.0,C-計價
19033,DLI1,A02320186,靜脈留置針-18G,2.0,10,True,2022-03-10,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,11,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,12,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,13,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,14,True,2022-01-07,202201.0,C-計價
19034,DLI1,A02320186,靜脈留置針-18G,2.0,15,True,2022-04-11,,
19036,DLI1,A02320186,靜脈留置針-18G,2.0,16,True,2022-04-19,,
19038,DLI1,A02320186,靜脈留置針-18G,2.0,17,True,2022-04-25,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,18,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,19,True,2022-01-07,202201.0,C-計價
19039,DLI1,A02320186,靜脈留置針-18G,1.0,20,False,2022-05-22,,
19040,DLI1,A02320186,靜脈留置針-18G,1.0,21,True,2022-05-23,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,22,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,23,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,24,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,25,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,26,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,27,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,28,True,2022-01-07,202201.0,C-計價
19042,DLI1,A02320186,靜脈留置針-18G,2.0,29,True,2022-07-22,,
19043,DLI1,A02320186,靜脈留置針-18G,2.0,30,True,2022-07-27,,
19044,DLI1,A02320186,靜脈留置針-18G,1.0,31,True,2022-08-04,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,32,True,2022-01-07,202201.0,C-計價
19045,DLI1,A02320186,靜脈留置針-18G,1.0,33,True,2022-08-17,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,34,True,2022-01-07,202201.0,C-計價
19046,DLI1,A02320186,靜脈留置針-18G,1.0,35,True,2022-08-30,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,36,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,37,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,38,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,39,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,40,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,41,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,42,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,43,True,2022-01-07,202201.0,C-計價
19021,DLI1,A02320186,靜脈留置針-18G,0.0,44,True,2022-01-07,202201.0,C-計價
19049,DLI1,A02320186,靜脈留置針-18G,3.0,45,True,2022-11-11,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,46,True,2022-01-07,202201.0,C-計價
19052,DLI1,A02320186,靜脈留置針-18G,2.0,47,True,2022-11-24,,
19053,DLI1,A02320186,靜脈留置針-18G,1.0,48,True,2022-12-01,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,49,True,2022-01-07,202201.0,C-計價
19054,DLI1,A02320186,靜脈留置針-18G,1.0,50,True,2022-12-15,,
19021,DLI1,A02320186,靜脈留置針-18G,0.0,51,True,2022-01-07,202201.0,C-計價
19055,DLI1,A02320186,靜脈留置針-18G,2.0,52,True,2022-12-30,,
