,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,1
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,1.0,2022-01-12,,,True,2
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,3
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,4
30602,DLI1,A04800036,靜脈輸液套，附Y加葯管,4.0,2022-02-03,,,False,5
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,6
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,7
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,8
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,9
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,10
30603,DLI1,A04800036,靜脈輸液套，附Y加葯管,1.0,2022-03-15,,,True,11
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,12
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,13
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,14
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,15
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,16
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,17
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,18
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,19
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,20
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,21
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,22
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,23
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,24
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,25
30604,DLI1,A04800036,靜脈輸液套，附Y加葯管,1.0,2022-06-30,,,True,26
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,27
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,28
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,29
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,30
30605,DLI1,A04800036,靜脈輸液套，附Y加葯管,1.0,2022-08-06,,,False,31
30606,DLI1,A04800036,靜脈輸液套，附Y加葯管,1.0,2022-08-11,,,True,32
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,33
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,34
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,35
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,36
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,37
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,38
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,39
30599,DLI1,A04800036,靜脈輸液套，附Y加葯管,0.0,2022-01-12,202201.0,T-不計價,True,40
