,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
31240,DLI1,A46445209,幫浦輸液套 (含加藥筒),8.0,1,False,2022-01-08,,
31242,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,2,True,2022-01-13,,
31245,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,3,False,2022-01-23,,
31250,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,4,True,2022-01-29,,
31252,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,5,False,2022-02-06,,
31254,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,6,True,2022-02-11,,
31257,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,7,True,2022-02-17,,
31263,DLI1,A46445209,幫浦輸液套 (含加藥筒),7.0,8,False,2022-02-26,,
31270,DLI1,A46445209,幫浦輸液套 (含加藥筒),10.0,9,True,2022-03-04,,
31274,DLI1,A46445209,幫浦輸液套 (含加藥筒),6.0,10,False,2022-03-12,,
31280,DLI1,A46445209,幫浦輸液套 (含加藥筒),6.0,11,True,2022-03-17,,
31285,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,12,False,2022-03-26,,
31292,DLI1,A46445209,幫浦輸液套 (含加藥筒),7.0,13,False,2022-04-03,,
31296,DLI1,A46445209,幫浦輸液套 (含加藥筒),4.0,14,False,2022-04-09,,
31301,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,15,False,2022-04-17,,
31307,DLI1,A46445209,幫浦輸液套 (含加藥筒),6.0,16,True,2022-04-24,,
31311,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,17,False,2022-04-30,,
31315,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,18,False,2022-05-08,,
31319,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,19,False,2022-05-15,,
31324,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,20,False,2022-05-21,,
31327,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,21,False,2022-05-29,,
31332,DLI1,A46445209,幫浦輸液套 (含加藥筒),7.0,22,True,2022-06-02,,
31335,DLI1,A46445209,幫浦輸液套 (含加藥筒),4.0,23,False,2022-06-12,,
31337,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,24,True,2022-06-17,,
31340,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,25,True,2022-06-22,,
31341,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,26,False,2022-07-03,,
31343,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,27,True,2022-07-08,,
31355,DLI1,A46445209,幫浦輸液套 (含加藥筒),13.0,28,False,2022-07-17,,
31365,DLI1,A46445209,幫浦輸液套 (含加藥筒),10.0,29,False,2022-07-24,,
31368,DLI1,A46445209,幫浦輸液套 (含加藥筒),4.0,30,False,2022-07-31,,
31372,DLI1,A46445209,幫浦輸液套 (含加藥筒),4.0,31,False,2022-08-06,,
31374,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,32,False,2022-08-13,,
31375,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,33,False,2022-08-21,,
31233,DLI1,A46445209,幫浦輸液套 (含加藥筒),0.0,34,False,2022-01-01,202201.0,C-計價
31233,DLI1,A46445209,幫浦輸液套 (含加藥筒),0.0,35,False,2022-01-01,202201.0,C-計價
31376,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,36,True,2022-09-08,,
31377,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,37,True,2022-09-16,,
31233,DLI1,A46445209,幫浦輸液套 (含加藥筒),0.0,38,False,2022-01-01,202201.0,C-計價
31379,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,39,False,2022-10-02,,
31233,DLI1,A46445209,幫浦輸液套 (含加藥筒),0.0,40,False,2022-01-01,202201.0,C-計價
31380,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,41,True,2022-10-10,,
31381,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,42,True,2022-10-20,,
31382,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,43,True,2022-10-27,,
31384,DLI1,A46445209,幫浦輸液套 (含加藥筒),2.0,44,False,2022-11-06,,
31388,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,45,False,2022-11-13,,
31389,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,46,True,2022-11-14,,
31390,DLI1,A46445209,幫浦輸液套 (含加藥筒),1.0,47,True,2022-11-22,,
31395,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,48,False,2022-12-04,,
31400,DLI1,A46445209,幫浦輸液套 (含加藥筒),8.0,49,False,2022-12-11,,
31403,DLI1,A46445209,幫浦輸液套 (含加藥筒),3.0,50,True,2022-12-14,,
31409,DLI1,A46445209,幫浦輸液套 (含加藥筒),6.0,51,False,2022-12-25,,
31413,DLI1,A46445209,幫浦輸液套 (含加藥筒),5.0,52,True,2022-12-30,,
