,庫房,料號,品名,數量,週,工作日,帳務日期
33480,DLI1,B03110120,人工薄膜,17.0,1,True,2022-01-07
33492,DLI1,B03110120,人工薄膜,19.0,2,False,2022-01-16
33510,DLI1,B03110120,人工薄膜,28.0,3,False,2022-01-23
33523,DLI1,B03110120,人工薄膜,18.0,4,True,2022-01-30
33531,DLI1,B03110120,人工薄膜,12.0,5,False,2022-02-06
33545,DLI1,B03110120,人工薄膜,18.0,6,False,2022-02-12
33555,DLI1,B03110120,人工薄膜,9.0,7,False,2022-02-20
33562,DLI1,B03110120,人工薄膜,11.0,8,False,2022-02-26
33570,DLI1,B03110120,人工薄膜,8.0,9,False,2022-03-06
33585,DLI1,B03110120,人工薄膜,17.0,10,False,2022-03-13
33606,DLI1,B03110120,人工薄膜,23.0,11,False,2022-03-20
33612,DLI1,B03110120,人工薄膜,9.0,12,False,2022-03-27
33623,DLI1,B03110120,人工薄膜,11.0,13,False,2022-04-03
33628,DLI1,B03110120,人工薄膜,7.0,14,False,2022-04-10
33639,DLI1,B03110120,人工薄膜,12.0,15,False,2022-04-17
33658,DLI1,B03110120,人工薄膜,24.0,16,True,2022-04-24
33674,DLI1,B03110120,人工薄膜,23.0,17,False,2022-05-01
33679,DLI1,B03110120,人工薄膜,8.0,18,True,2022-05-07
33696,DLI1,B03110120,人工薄膜,23.0,19,False,2022-05-15
33710,DLI1,B03110120,人工薄膜,20.0,20,False,2022-05-22
33718,DLI1,B03110120,人工薄膜,10.0,21,False,2022-05-29
33733,DLI1,B03110120,人工薄膜,18.0,22,False,2022-06-05
33749,DLI1,B03110120,人工薄膜,20.0,23,False,2022-06-12
33754,DLI1,B03110120,人工薄膜,5.0,24,True,2022-06-17
33760,DLI1,B03110120,人工薄膜,6.0,25,False,2022-06-26
33771,DLI1,B03110120,人工薄膜,13.0,26,False,2022-07-03
33777,DLI1,B03110120,人工薄膜,6.0,27,False,2022-07-09
33790,DLI1,B03110120,人工薄膜,22.0,28,False,2022-07-17
33803,DLI1,B03110120,人工薄膜,14.0,29,False,2022-07-24
33813,DLI1,B03110120,人工薄膜,11.0,30,False,2022-07-31
33829,DLI1,B03110120,人工薄膜,20.0,31,False,2022-08-06
33836,DLI1,B03110120,人工薄膜,10.0,32,False,2022-08-14
33841,DLI1,B03110120,人工薄膜,10.0,33,False,2022-08-21
33847,DLI1,B03110120,人工薄膜,8.0,34,False,2022-08-28
33857,DLI1,B03110120,人工薄膜,14.0,35,False,2022-09-04
33869,DLI1,B03110120,人工薄膜,14.0,36,False,2022-09-11
33879,DLI1,B03110120,人工薄膜,15.0,37,False,2022-09-18
33892,DLI1,B03110120,人工薄膜,13.0,38,False,2022-09-25
33898,DLI1,B03110120,人工薄膜,7.0,39,False,2022-10-02
33905,DLI1,B03110120,人工薄膜,7.0,40,True,2022-10-09
33916,DLI1,B03110120,人工薄膜,21.0,41,False,2022-10-16
33928,DLI1,B03110120,人工薄膜,16.0,42,False,2022-10-23
33945,DLI1,B03110120,人工薄膜,22.0,43,False,2022-10-30
33962,DLI1,B03110120,人工薄膜,26.0,44,False,2022-11-06
33983,DLI1,B03110120,人工薄膜,27.0,45,False,2022-11-13
33995,DLI1,B03110120,人工薄膜,16.0,46,False,2022-11-19
34006,DLI1,B03110120,人工薄膜,12.0,47,False,2022-11-26
34012,DLI1,B03110120,人工薄膜,6.0,48,False,2022-12-04
34027,DLI1,B03110120,人工薄膜,19.0,49,False,2022-12-11
34034,DLI1,B03110120,人工薄膜,10.0,50,True,2022-12-16
34043,DLI1,B03110120,人工薄膜,12.0,51,False,2022-12-25
34059,DLI1,B03110120,人工薄膜,27.0,52,False,2022-12-31
