,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,1
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,2
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,3
34106,DLI1,B03647700,紙治療巾,1.0,2022-01-28,,,True,4
34107,DLI1,B03647700,紙治療巾,2.0,2022-02-04,,,False,5
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,6
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,7
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,8
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,9
34108,DLI1,B03647700,紙治療巾,1.0,2022-03-10,,,True,10
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,11
34109,DLI1,B03647700,紙治療巾,1.0,2022-03-24,,,True,12
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,13
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,14
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,15
34110,DLI1,B03647700,紙治療巾,1.0,2022-04-22,,,True,16
34111,DLI1,B03647700,紙治療巾,1.0,2022-04-28,,,True,17
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,18
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,19
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,20
34112,DLI1,B03647700,紙治療巾,1.0,2022-05-26,,,True,21
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,22
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,23
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,24
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,25
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,26
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,27
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,28
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,29
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,30
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,31
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,32
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,33
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,34
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,35
34113,DLI1,B03647700,紙治療巾,1.0,2022-09-06,,,True,36
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,37
34114,DLI1,B03647700,紙治療巾,1.0,2022-09-20,,,True,38
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,39
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,40
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,41
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,42
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,43
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,44
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,45
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,46
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,47
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,48
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,49
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,50
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,51
34106,DLI1,B03647700,紙治療巾,0.0,2022-01-28,202201.0,T-不計價,True,52
