,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,1
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,2
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,3
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,4
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,5
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,6
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,7
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,8
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,9
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,10
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,11
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,12
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,13
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,14
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,15
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,16
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,17
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,18
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,19
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,20
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,21
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,22
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,23
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,24
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,25
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,26
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,27
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,28
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,29
34143,DLI1,B05469023,6吋棉棒,2.0,2022-07-26,,,True,30
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,31
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,32
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,33
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,34
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,35
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,36
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,37
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,38
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,39
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,40
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,41
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,42
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,43
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,44
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,45
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,46
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,47
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,48
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,49
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,50
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,51
34143,DLI1,B05469023,6吋棉棒,0.0,2022-07-26,202207.0,T-不計價,True,52
