,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
34147,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,1,True,2022-01-07,,
34152,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,2,True,2022-01-14,,
34157,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,3,False,2022-01-23,,
34160,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,4,True,2022-01-28,,
34166,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,5,False,2022-02-04,,
34173,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,6,False,2022-02-12,,
34178,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,7,True,2022-02-18,,
34184,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,8,False,2022-02-26,,
34187,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,9,True,2022-03-02,,
34188,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,10,False,2022-03-12,,
34191,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,6.0,11,True,2022-03-16,,
34194,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,12,False,2022-03-27,,
34195,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,13,False,2022-04-03,,
34198,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,14,True,2022-04-08,,
34203,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,15,True,2022-04-15,,
34209,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,6.0,16,True,2022-04-24,,
34214,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,6.0,17,True,2022-04-29,,
34221,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,8.0,18,False,2022-05-08,,
34225,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,19,False,2022-05-15,,
34230,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,5.0,20,False,2022-05-22,,
34237,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,21,False,2022-05-29,,
34243,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,22,True,2022-06-02,,
34248,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,23,False,2022-06-12,,
34250,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2.0,24,True,2022-06-14,,
34256,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,25,True,2022-06-23,,
34262,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,7.0,26,False,2022-07-03,,
34265,DLI1,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,27,True,2022-07-08,,
