,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
35597,DLI1,C02100500,密閉式抽痰套 12FR,2.0,1,False,2022-01-08,,
35598,DLI1,C02100500,密閉式抽痰套 12FR,1.0,2,True,2022-01-11,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,3,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,4,True,2022-01-05,202201.0,T-不計價
35600,DLI1,C02100500,密閉式抽痰套 12FR,2.0,5,False,2022-02-06,,
35602,DLI1,C02100500,密閉式抽痰套 12FR,2.0,6,False,2022-02-13,,
35604,DLI1,C02100500,密閉式抽痰套 12FR,2.0,7,False,2022-02-19,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,8,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,9,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,10,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,11,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,12,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,13,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,14,True,2022-01-05,202201.0,T-不計價
35606,DLI1,C02100500,密閉式抽痰套 12FR,2.0,15,False,2022-04-16,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,16,True,2022-01-05,202201.0,T-不計價
35607,DLI1,C02100500,密閉式抽痰套 12FR,1.0,17,True,2022-04-25,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,18,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,19,True,2022-01-05,202201.0,T-不計價
35611,DLI1,C02100500,密閉式抽痰套 12FR,4.0,20,True,2022-05-19,,
35612,DLI1,C02100500,密閉式抽痰套 12FR,1.0,21,False,2022-05-28,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,22,True,2022-01-05,202201.0,T-不計價
35617,DLI1,C02100500,密閉式抽痰套 12FR,5.0,23,False,2022-06-12,,
35620,DLI1,C02100500,密閉式抽痰套 12FR,3.0,24,True,2022-06-17,,
35622,DLI1,C02100500,密閉式抽痰套 12FR,2.0,25,True,2022-06-22,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,26,True,2022-01-05,202201.0,T-不計價
35626,DLI1,C02100500,密閉式抽痰套 12FR,4.0,27,False,2022-07-10,,
35628,DLI1,C02100500,密閉式抽痰套 12FR,2.0,28,False,2022-07-17,,
35630,DLI1,C02100500,密閉式抽痰套 12FR,2.0,29,False,2022-07-23,,
35632,DLI1,C02100500,密閉式抽痰套 12FR,2.0,30,True,2022-07-29,,
35633,DLI1,C02100500,密閉式抽痰套 12FR,1.0,31,True,2022-08-01,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,32,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,33,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,34,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,35,True,2022-01-05,202201.0,T-不計價
35634,DLI1,C02100500,密閉式抽痰套 12FR,1.0,36,False,2022-09-11,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,37,True,2022-01-05,202201.0,T-不計價
35635,DLI1,C02100500,密閉式抽痰套 12FR,1.0,38,False,2022-09-25,,
35636,DLI1,C02100500,密閉式抽痰套 12FR,1.0,39,True,2022-09-28,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,40,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,41,True,2022-01-05,202201.0,T-不計價
35637,DLI1,C02100500,密閉式抽痰套 12FR,1.0,42,False,2022-10-23,,
35638,DLI1,C02100500,密閉式抽痰套 12FR,1.0,43,True,2022-10-28,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,44,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,45,True,2022-01-05,202201.0,T-不計價
35639,DLI1,C02100500,密閉式抽痰套 12FR,1.0,46,True,2022-11-16,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,47,True,2022-01-05,202201.0,T-不計價
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,48,True,2022-01-05,202201.0,T-不計價
35641,DLI1,C02100500,密閉式抽痰套 12FR,8.0,49,True,2022-12-09,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,50,True,2022-01-05,202201.0,T-不計價
35642,DLI1,C02100500,密閉式抽痰套 12FR,1.0,51,False,2022-12-25,,
35596,DLI1,C02100500,密閉式抽痰套 12FR,0.0,52,True,2022-01-05,202201.0,T-不計價
