,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
39285,DLI1,C08224755,氣管內管PVC,2.0,1,True,2022-01-04,,
39286,DLI1,C08224755,氣管內管PVC,1.0,2,True,2022-01-13,,
39287,DLI1,C08224755,氣管內管PVC,2.0,3,True,2022-01-20,,
39288,DLI1,C08224755,氣管內管PVC,2.0,4,True,2022-01-25,,
39285,DLI1,C08224755,氣管內管PVC,0.0,5,True,2022-01-04,202201.0,T-不計價
39290,DLI1,C08224755,氣管內管PVC,3.0,6,False,2022-02-13,,
39291,DLI1,C08224755,氣管內管PVC,1.0,7,True,2022-02-18,,
39294,DLI1,C08224755,氣管內管PVC,4.0,8,True,2022-02-25,,
39295,DLI1,C08224755,氣管內管PVC,1.0,9,True,2022-03-02,,
39296,DLI1,C08224755,氣管內管PVC,1.0,10,True,2022-03-08,,
39297,DLI1,C08224755,氣管內管PVC,1.0,11,True,2022-03-16,,
39298,DLI1,C08224755,氣管內管PVC,1.0,12,True,2022-03-21,,
39285,DLI1,C08224755,氣管內管PVC,0.0,13,True,2022-01-04,202201.0,T-不計價
39285,DLI1,C08224755,氣管內管PVC,0.0,14,True,2022-01-04,202201.0,T-不計價
39299,DLI1,C08224755,氣管內管PVC,2.0,15,True,2022-04-14,,
39301,DLI1,C08224755,氣管內管PVC,2.0,16,True,2022-04-21,,
39302,DLI1,C08224755,氣管內管PVC,1.0,17,True,2022-04-26,,
39305,DLI1,C08224755,氣管內管PVC,4.0,18,True,2022-05-06,,
39285,DLI1,C08224755,氣管內管PVC,0.0,19,True,2022-01-04,202201.0,T-不計價
39306,DLI1,C08224755,氣管內管PVC,1.0,20,True,2022-05-16,,
39307,DLI1,C08224755,氣管內管PVC,1.0,21,False,2022-05-28,,
39285,DLI1,C08224755,氣管內管PVC,0.0,22,True,2022-01-04,202201.0,T-不計價
39308,DLI1,C08224755,氣管內管PVC,1.0,23,True,2022-06-08,,
39309,DLI1,C08224755,氣管內管PVC,1.0,24,True,2022-06-17,,
39285,DLI1,C08224755,氣管內管PVC,0.0,25,True,2022-01-04,202201.0,T-不計價
39285,DLI1,C08224755,氣管內管PVC,0.0,26,True,2022-01-04,202201.0,T-不計價
39310,DLI1,C08224755,氣管內管PVC,3.0,27,True,2022-07-06,,
39285,DLI1,C08224755,氣管內管PVC,0.0,28,True,2022-01-04,202201.0,T-不計價
39285,DLI1,C08224755,氣管內管PVC,0.0,29,True,2022-01-04,202201.0,T-不計價
39311,DLI1,C08224755,氣管內管PVC,1.0,30,False,2022-07-31,,
39312,DLI1,C08224755,氣管內管PVC,1.0,31,False,2022-08-06,,
39285,DLI1,C08224755,氣管內管PVC,0.0,32,True,2022-01-04,202201.0,T-不計價
39313,DLI1,C08224755,氣管內管PVC,1.0,33,True,2022-08-17,,
39285,DLI1,C08224755,氣管內管PVC,0.0,34,True,2022-01-04,202201.0,T-不計價
39315,DLI1,C08224755,氣管內管PVC,2.0,35,True,2022-09-01,,
39317,DLI1,C08224755,氣管內管PVC,3.0,36,False,2022-09-11,,
39318,DLI1,C08224755,氣管內管PVC,1.0,37,True,2022-09-16,,
39285,DLI1,C08224755,氣管內管PVC,0.0,38,True,2022-01-04,202201.0,T-不計價
39319,DLI1,C08224755,氣管內管PVC,1.0,39,True,2022-09-29,,
39285,DLI1,C08224755,氣管內管PVC,0.0,40,True,2022-01-04,202201.0,T-不計價
39285,DLI1,C08224755,氣管內管PVC,0.0,41,True,2022-01-04,202201.0,T-不計價
39320,DLI1,C08224755,氣管內管PVC,1.0,42,False,2022-10-23,,
39285,DLI1,C08224755,氣管內管PVC,0.0,43,True,2022-01-04,202201.0,T-不計價
39321,DLI1,C08224755,氣管內管PVC,1.0,44,True,2022-11-02,,
39285,DLI1,C08224755,氣管內管PVC,0.0,45,True,2022-01-04,202201.0,T-不計價
39323,DLI1,C08224755,氣管內管PVC,3.0,46,False,2022-11-20,,
39285,DLI1,C08224755,氣管內管PVC,0.0,47,True,2022-01-04,202201.0,T-不計價
39324,DLI1,C08224755,氣管內管PVC,1.0,48,False,2022-12-03,,
39325,DLI1,C08224755,氣管內管PVC,1.0,49,True,2022-12-08,,
39328,DLI1,C08224755,氣管內管PVC,3.0,50,True,2022-12-14,,
39329,DLI1,C08224755,氣管內管PVC,1.0,51,True,2022-12-22,,
39331,DLI1,C08224755,氣管內管PVC,2.0,52,True,2022-12-28,,
