,庫房,料號,品名,數量,週,工作日,帳務日期
39363,DLI1,C10220101,單頭單向血壓監視組,18.0,1,False,2022-01-09
39379,DLI1,C10220101,單頭單向血壓監視組,16.0,2,False,2022-01-16
39397,DLI1,C10220101,單頭單向血壓監視組,18.0,3,False,2022-01-23
39413,DLI1,C10220101,單頭單向血壓監視組,16.0,4,True,2022-01-30
39426,DLI1,C10220101,單頭單向血壓監視組,15.0,5,False,2022-02-05
39437,DLI1,C10220101,單頭單向血壓監視組,12.0,6,False,2022-02-13
39451,DLI1,C10220101,單頭單向血壓監視組,14.0,7,False,2022-02-20
39470,DLI1,C10220101,單頭單向血壓監視組,19.0,8,False,2022-02-27
39487,DLI1,C10220101,單頭單向血壓監視組,17.0,9,False,2022-03-06
39501,DLI1,C10220101,單頭單向血壓監視組,14.0,10,False,2022-03-12
39518,DLI1,C10220101,單頭單向血壓監視組,18.0,11,False,2022-03-19
39532,DLI1,C10220101,單頭單向血壓監視組,14.0,12,False,2022-03-27
39543,DLI1,C10220101,單頭單向血壓監視組,11.0,13,False,2022-04-03
39554,DLI1,C10220101,單頭單向血壓監視組,12.0,14,False,2022-04-10
39570,DLI1,C10220101,單頭單向血壓監視組,16.0,15,False,2022-04-16
39585,DLI1,C10220101,單頭單向血壓監視組,16.0,16,True,2022-04-24
39604,DLI1,C10220101,單頭單向血壓監視組,19.0,17,False,2022-04-30
39623,DLI1,C10220101,單頭單向血壓監視組,19.0,18,True,2022-05-07
39640,DLI1,C10220101,單頭單向血壓監視組,17.0,19,False,2022-05-15
39656,DLI1,C10220101,單頭單向血壓監視組,16.0,20,False,2022-05-22
39672,DLI1,C10220101,單頭單向血壓監視組,16.0,21,False,2022-05-29
39683,DLI1,C10220101,單頭單向血壓監視組,11.0,22,False,2022-06-05
39696,DLI1,C10220101,單頭單向血壓監視組,13.0,23,False,2022-06-12
39707,DLI1,C10220101,單頭單向血壓監視組,11.0,24,True,2022-06-17
39721,DLI1,C10220101,單頭單向血壓監視組,15.0,25,False,2022-06-26
39736,DLI1,C10220101,單頭單向血壓監視組,15.0,26,False,2022-07-03
39749,DLI1,C10220101,單頭單向血壓監視組,13.0,27,False,2022-07-09
39764,DLI1,C10220101,單頭單向血壓監視組,16.0,28,False,2022-07-17
39774,DLI1,C10220101,單頭單向血壓監視組,10.0,29,False,2022-07-24
39786,DLI1,C10220101,單頭單向血壓監視組,12.0,30,False,2022-07-31
39799,DLI1,C10220101,單頭單向血壓監視組,13.0,31,False,2022-08-06
39809,DLI1,C10220101,單頭單向血壓監視組,10.0,32,False,2022-08-14
39821,DLI1,C10220101,單頭單向血壓監視組,12.0,33,False,2022-08-21
39835,DLI1,C10220101,單頭單向血壓監視組,15.0,34,False,2022-08-28
39851,DLI1,C10220101,單頭單向血壓監視組,16.0,35,False,2022-09-04
39873,DLI1,C10220101,單頭單向血壓監視組,23.0,36,False,2022-09-11
39891,DLI1,C10220101,單頭單向血壓監視組,18.0,37,False,2022-09-18
39907,DLI1,C10220101,單頭單向血壓監視組,18.0,38,False,2022-09-25
39925,DLI1,C10220101,單頭單向血壓監視組,18.0,39,False,2022-10-02
39940,DLI1,C10220101,單頭單向血壓監視組,15.0,40,True,2022-10-09
39949,DLI1,C10220101,單頭單向血壓監視組,9.0,41,False,2022-10-16
39962,DLI1,C10220101,單頭單向血壓監視組,14.0,42,False,2022-10-23
39978,DLI1,C10220101,單頭單向血壓監視組,16.0,43,False,2022-10-30
39991,DLI1,C10220101,單頭單向血壓監視組,15.0,44,False,2022-11-06
40009,DLI1,C10220101,單頭單向血壓監視組,18.0,45,False,2022-11-13
40024,DLI1,C10220101,單頭單向血壓監視組,15.0,46,False,2022-11-20
40037,DLI1,C10220101,單頭單向血壓監視組,13.0,47,False,2022-11-27
40055,DLI1,C10220101,單頭單向血壓監視組,18.0,48,False,2022-12-04
40071,DLI1,C10220101,單頭單向血壓監視組,16.0,49,False,2022-12-11
40086,DLI1,C10220101,單頭單向血壓監視組,15.0,50,False,2022-12-18
40101,DLI1,C10220101,單頭單向血壓監視組,16.0,51,False,2022-12-25
40117,DLI1,C10220101,單頭單向血壓監視組,22.0,52,False,2022-12-31
