,庫房,料號,品名,數量,帳務日期,日期,計價,工作日,週
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,1
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-01-16,,,False,2
43133,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-01-23,,,False,3
43134,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-01-24,,,True,4
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,5
43139,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),6.0,2022-02-09,,,True,6
43140,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-02-18,,,True,7
43143,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),4.0,2022-02-25,,,True,8
43144,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-03-06,,,False,9
43145,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-03-09,,,True,10
43147,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),2.0,2022-03-19,,,False,11
43149,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),2.0,2022-03-24,,,True,12
43150,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-04-02,,,True,13
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,14
43153,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),3.0,2022-04-15,,,True,15
43157,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),4.0,2022-04-24,,,True,16
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,17
43158,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-05-02,,,False,18
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,19
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,20
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,21
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,22
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,23
43159,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-18,,,False,24
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,25
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,26
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,27
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,28
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,29
43160,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-07-31,,,False,30
43161,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-08-06,,,False,31
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,32
43162,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-08-15,,,True,33
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,34
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,35
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,36
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,37
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,38
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,39
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,40
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,41
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,42
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,43
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,44
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,45
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,46
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,47
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,48
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,49
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,50
43132,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),0.0,2022-01-16,202201.0,T-不計價,False,51
43163,DLI1,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-12-26,,,True,52
